profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161011
0.0,0.0,0.0,0.0,0.0,20161012
0.0,0.0,0.0,0.0,0.0,20161013
0.0,0.0,0.0,0.0,0.0,20161014
0.0,140.0,-140.0,0.0,-140.0,20161017
-3780.0,560.0,-4340.0,-4270.0,-4830.0,20161018
-2100.0,0.0,-2100.0,-2240.0,-2240.0,20161019
5390.0,0.0,5390.0,5180.0,5180.0,20161020
-2380.0,140.0,-2520.0,-2660.0,-2800.0,20161021
-130.0,340.0,-470.0,-430.0,-770.0,20161024
-4975.0,410.0,-5385.0,-6335.0,-6745.0,20161025
-1645.0,0.0,-1645.0,-2030.0,-2030.0,20161026
-1925.0,700.0,-2625.0,-2205.0,-2905.0,20161027
2900.0,480.0,2420.0,3030.0,2550.0,20161028
-10420.0,820.0,-11240.0,-12955.0,-13775.0,20161031
-11510.0,1250.0,-12760.0,-13175.0,-14425.0,20161101
15165.0,130.0,15035.0,17765.0,17635.0,20161102
-3280.0,0.0,-3280.0,-4305.0,-4305.0,20161103
1230.0,0.0,1230.0,205.0,205.0,20161104
-13935.0,820.0,-14755.0,-16020.0,-16840.0,20161107
8200.0,0.0,8200.0,11685.0,11685.0,20161108
205.0,0.0,205.0,205.0,205.0,20161109
31365.0,0.0,31365.0,30340.0,30340.0,20161110
-5330.0,0.0,-5330.0,-5535.0,-5535.0,20161111
-18450.0,410.0,-18860.0,-20500.0,-20910.0,20161114
-70.0,70.0,-140.0,-70.0,-140.0,20161115
805.0,0.0,805.0,1260.0,1260.0,20161116
2310.0,0.0,2310.0,2415.0,2415.0,20161117
-2800.0,140.0,-2940.0,-3290.0,-3430.0,20161118
805.0,70.0,735.0,700.0,630.0,20161121
0.0,0.0,0.0,0.0,0.0,20161122
0.0,0.0,0.0,0.0,0.0,20161123
525.0,210.0,315.0,-630.0,-840.0,20161124
4410.0,0.0,4410.0,5040.0,5040.0,20161125
-5985.0,210.0,-6195.0,-5775.0,-5985.0,20161128
760.0,340.0,420.0,2910.0,2570.0,20161129
-9855.0,750.0,-10605.0,-10250.0,-11000.0,20161130
-2870.0,0.0,-2870.0,-4715.0,-4715.0,20161201
8815.0,0.0,8815.0,11685.0,11685.0,20161202
-13530.0,410.0,-13940.0,-14760.0,-15170.0,20161205
525.0,210.0,315.0,490.0,280.0,20161206
-1365.0,0.0,-1365.0,-1155.0,-1155.0,20161207
-16525.0,1300.0,-17825.0,-19120.0,-20420.0,20161208
1435.0,0.0,1435.0,2050.0,2050.0,20161209
-7585.0,410.0,-7995.0,-8200.0,-8610.0,20161212
-840.0,70.0,-910.0,-770.0,-840.0,20161213
-210.0,350.0,-560.0,-245.0,-595.0,20161214
2180.0,270.0,1910.0,2525.0,2255.0,20161215
-6490.0,820.0,-7310.0,0.0,-820.0,20161216
2255.0,0.0,2255.0,5330.0,5330.0,20161219
-18245.0,820.0,-19065.0,-19885.0,-20705.0,20161220
4510.0,0.0,4510.0,5125.0,5125.0,20161221
-410.0,0.0,-410.0,0.0,0.0,20161222
2870.0,0.0,2870.0,3485.0,3485.0,20161223
-4305.0,410.0,-4715.0,-4305.0,-4715.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
0.0,0.0,0.0,0.0,0.0,20161228
0.0,0.0,0.0,0.0,0.0,20161229
0.0,340.0,-340.0,0.0,-340.0,20161230
120.0,130.0,-10.0,-415.0,-545.0,20170103
-4855.0,880.0,-5735.0,-4955.0,-5835.0,20170104
-410.0,0.0,-410.0,-205.0,-205.0,20170105
-16215.0,820.0,-17035.0,-17375.0,-18195.0,20170106
-2665.0,0.0,-2665.0,-2050.0,-2050.0,20170109
-1025.0,0.0,-1025.0,-205.0,-205.0,20170110
-180.0,820.0,-1000.0,-2470.0,-3290.0,20170111
-6150.0,0.0,-6150.0,-5945.0,-5945.0,20170112
-6970.0,410.0,-7380.0,-6560.0,-6970.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
-8540.0,700.0,-9240.0,-9100.0,-9800.0,20170117
-1120.0,140.0,-1260.0,-560.0,-700.0,20170118
-5560.0,690.0,-6250.0,-7180.0,-7870.0,20170119
-8135.0,820.0,-8955.0,-8685.0,-9505.0,20170120
-3700.0,690.0,-4390.0,-3355.0,-4045.0,20170123
4345.0,130.0,4215.0,2565.0,2435.0,20170124
-3485.0,0.0,-3485.0,-5535.0,-5535.0,20170125
2460.0,0.0,2460.0,410.0,410.0,20170126
-9710.0,820.0,-10530.0,-10460.0,-11280.0,20170203
-5330.0,0.0,-5330.0,-3690.0,-3690.0,20170206
1025.0,0.0,1025.0,615.0,615.0,20170207
615.0,0.0,615.0,-1845.0,-1845.0,20170208
1025.0,0.0,1025.0,615.0,615.0,20170209
-2050.0,0.0,-2050.0,-1025.0,-1025.0,20170210
-6330.0,200.0,-6530.0,-6215.0,-6415.0,20170213
315.0,420.0,-105.0,525.0,105.0,20170214
-5135.0,620.0,-5755.0,-5145.0,-5765.0,20170215
