profit,comm,equity,profit_ZL,equity_ZL,day
8000.0,0.0,8000.0,8100.0,8100.0,20170120
3800.0,0.0,3800.0,4200.0,4200.0,20170123
-14100.0,500.0,-14600.0,-14500.0,-15000.0,20170124
-2400.0,100.0,-2500.0,-2300.0,-2400.0,20170125
-400.0,200.0,-600.0,-900.0,-1100.0,20170126
-10250.0,550.0,-10800.0,-10050.0,-10600.0,20170203
15150.0,0.0,15150.0,15150.0,15150.0,20170206
-9700.0,450.0,-10150.0,-10450.0,-10900.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
-14900.0,750.0,-15650.0,-15250.0,-16000.0,20170210
20100.0,150.0,19950.0,20550.0,20400.0,20170213
0.0,0.0,0.0,0.0,0.0,20170214
0.0,0.0,0.0,0.0,0.0,20170215
0.0,0.0,0.0,0.0,0.0,20170216
0.0,0.0,0.0,0.0,0.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
0.0,0.0,0.0,0.0,0.0,20170221
0.0,0.0,0.0,0.0,0.0,20170222
0.0,0.0,0.0,0.0,0.0,20170223
