profit,comm,equity,profit_ZL,equity_ZL,day
2200.0,110.0,2090.0,2200.0,2090.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
-2040.0,1400.0,-3440.0,-2360.0,-3760.0,20170110
-12960.0,0.0,-12960.0,-12420.0,-12420.0,20170111
15270.0,1300.0,13970.0,15270.0,13970.0,20170112
9180.0,0.0,9180.0,9720.0,9720.0,20170113
59400.0,0.0,59400.0,59940.0,59940.0,20170116
-24540.0,540.0,-25080.0,-24100.0,-24640.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
0.0,0.0,0.0,0.0,0.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
2200.0,110.0,2090.0,2090.0,1980.0,20170125
-770.0,0.0,-770.0,-660.0,-660.0,20170126
-1650.0,0.0,-1650.0,-1540.0,-1540.0,20170203
-690.0,320.0,-1010.0,-1230.0,-1550.0,20170206
5400.0,210.0,5190.0,5180.0,4970.0,20170207
-3960.0,220.0,-4180.0,-4400.0,-4620.0,20170208
-15210.0,1520.0,-16730.0,-16070.0,-17590.0,20170209
-10260.0,750.0,-11010.0,-10580.0,-11330.0,20170210
18290.0,760.0,17530.0,18180.0,17420.0,20170213
38350.0,0.0,38350.0,39650.0,39650.0,20170214
-25350.0,0.0,-25350.0,-24050.0,-24050.0,20170215
-20800.0,0.0,-20800.0,-18850.0,-18850.0,20170216
29900.0,650.0,29250.0,0.0,-650.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
7080.0,320.0,6760.0,7300.0,6980.0,20170221
1600.0,0.0,1600.0,960.0,960.0,20170222
24960.0,0.0,24960.0,24640.0,24640.0,20170223
