profit,comm,equity,profit_ZL,equity_ZL,day
3980.0,60.0,3920.0,4180.0,4120.0,20170105
1400.0,80.0,1320.0,1380.0,1300.0,20170106
-900.0,0.0,-900.0,-780.0,-780.0,20170109
-1560.0,0.0,-1560.0,-1560.0,-1560.0,20170110
-1740.0,60.0,-1800.0,-1740.0,-1800.0,20170111
-1200.0,460.0,-1660.0,-1340.0,-1800.0,20170112
-13300.0,2600.0,-15900.0,-13640.0,-16240.0,20170113
10640.0,1360.0,9280.0,9820.0,8460.0,20170116
14960.0,0.0,14960.0,12580.0,12580.0,20170117
-11900.0,0.0,-11900.0,-11220.0,-11220.0,20170118
3060.0,0.0,3060.0,3060.0,3060.0,20170119
-8320.0,820.0,-9140.0,-8520.0,-9340.0,20170120
860.0,140.0,720.0,520.0,380.0,20170123
-420.0,1320.0,-1740.0,-1720.0,-3040.0,20170124
-4340.0,1120.0,-5460.0,-4760.0,-5880.0,20170125
5040.0,0.0,5040.0,5460.0,5460.0,20170126
12600.0,0.0,12600.0,12600.0,12600.0,20170203
-12600.0,0.0,-12600.0,-12600.0,-12600.0,20170206
5880.0,0.0,5880.0,5880.0,5880.0,20170207
-11280.0,1120.0,-12400.0,-12100.0,-13220.0,20170208
-2780.0,60.0,-2840.0,-3060.0,-3120.0,20170209
5400.0,800.0,4600.0,5460.0,4660.0,20170210
-6200.0,0.0,-6200.0,-6800.0,-6800.0,20170213
-400.0,680.0,-1080.0,-800.0,-1480.0,20170214
2400.0,0.0,2400.0,2800.0,2800.0,20170215
2540.0,120.0,2420.0,2740.0,2620.0,20170216
10140.0,120.0,10020.0,0.0,-120.0,20170217
-3220.0,120.0,-3340.0,8720.0,8600.0,20170220
1800.0,0.0,1800.0,2400.0,2400.0,20170221
2040.0,120.0,1920.0,2240.0,2120.0,20170222
8000.0,0.0,8000.0,8000.0,8000.0,20170223
