profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,0.0,0.0,20161230
-900.0,50.0,-950.0,-400.0,-450.0,20170103
0.0,50.0,-50.0,0.0,-50.0,20170104
-1000.0,0.0,-1000.0,-1250.0,-1250.0,20170105
-5750.0,550.0,-6300.0,-6000.0,-6550.0,20170106
12200.0,100.0,12100.0,12250.0,12150.0,20170109
13200.0,0.0,13200.0,12600.0,12600.0,20170110
-1200.0,0.0,-1200.0,-1500.0,-1500.0,20170111
18000.0,0.0,18000.0,18600.0,18600.0,20170112
-21700.0,400.0,-22100.0,-22000.0,-22400.0,20170113
1600.0,200.0,1400.0,1800.0,1600.0,20170116
-1250.0,50.0,-1300.0,-1300.0,-1350.0,20170117
2450.0,100.0,2350.0,2600.0,2500.0,20170118
3450.0,0.0,3450.0,3450.0,3450.0,20170119
-5600.0,200.0,-5800.0,-5700.0,-5900.0,20170120
1250.0,50.0,1200.0,1250.0,1200.0,20170123
-4950.0,100.0,-5050.0,-5200.0,-5300.0,20170124
-1500.0,100.0,-1600.0,-1700.0,-1800.0,20170125
-2350.0,500.0,-2850.0,-1750.0,-2250.0,20170126
31200.0,0.0,31200.0,30800.0,30800.0,20170203
18000.0,0.0,18000.0,17600.0,17600.0,20170206
-4000.0,0.0,-4000.0,-4000.0,-4000.0,20170207
-1600.0,0.0,-1600.0,-2400.0,-2400.0,20170208
-8000.0,0.0,-8000.0,-8400.0,-8400.0,20170209
3900.0,100.0,3800.0,3800.0,3700.0,20170210
-1750.0,50.0,-1800.0,-1850.0,-1900.0,20170213
-14000.0,1000.0,-15000.0,-15150.0,-16150.0,20170214
1750.0,450.0,1300.0,2200.0,1750.0,20170215
800.0,0.0,800.0,1600.0,1600.0,20170216
19600.0,0.0,19600.0,0.0,0.0,20170217
-800.0,0.0,-800.0,17200.0,17200.0,20170220
-9200.0,0.0,-9200.0,-10000.0,-10000.0,20170221
26400.0,150.0,26250.0,27450.0,27300.0,20170222
8800.0,0.0,8800.0,9900.0,9900.0,20170223
31900.0,0.0,31900.0,35200.0,35200.0,20170224
