profit,comm,equity,profit_ZL,equity_ZL,day
-16950.0,1350.0,-18300.0,-18900.0,-20250.0,20161230
-8475.0,1650.0,-10125.0,-8325.0,-9975.0,20170103
-9975.0,75.0,-10050.0,-18150.0,-18225.0,20170104
15600.0,0.0,15600.0,16575.0,16575.0,20170105
14625.0,0.0,14625.0,16575.0,16575.0,20170106
-14775.0,300.0,-15075.0,-17925.0,-18225.0,20170109
-14175.0,2025.0,-16200.0,-15225.0,-17250.0,20170110
36750.0,0.0,36750.0,35700.0,35700.0,20170111
47250.0,0.0,47250.0,50400.0,50400.0,20170112
2250.0,1050.0,1200.0,-525.0,-1575.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
-9600.0,450.0,-10050.0,-9600.0,-10050.0,20170117
-1500.0,375.0,-1875.0,-1650.0,-2025.0,20170118
-600.0,750.0,-1350.0,-975.0,-1725.0,20170119
-12375.0,1125.0,-13500.0,-13500.0,-14625.0,20170120
38175.0,150.0,38025.0,38325.0,38175.0,20170123
6750.0,0.0,6750.0,5250.0,5250.0,20170124
48000.0,0.0,48000.0,48750.0,48750.0,20170125
-29775.0,750.0,-30525.0,-31050.0,-31800.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
-11700.0,1575.0,-13275.0,-12000.0,-13575.0,20170206
2100.0,0.0,2100.0,3150.0,3150.0,20170207
-11625.0,300.0,-11925.0,-10875.0,-11175.0,20170208
-10125.0,750.0,-10875.0,-11025.0,-11775.0,20170209
-35325.0,2550.0,-37875.0,-34725.0,-37275.0,20170210
14175.0,750.0,13425.0,13725.0,12975.0,20170213
96900.0,0.0,96900.0,117300.0,117300.0,20170214
-16575.0,0.0,-16575.0,-17850.0,-17850.0,20170215
-5400.0,1125.0,-6525.0,-8025.0,-9150.0,20170216
-2175.0,150.0,-2325.0,0.0,-150.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
0.0,0.0,0.0,0.0,0.0,20170221
0.0,0.0,0.0,0.0,0.0,20170222
0.0,0.0,0.0,0.0,0.0,20170223
0.0,0.0,0.0,0.0,0.0,20170224
