profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,0.0,0.0,20161230
-960.0,240.0,-1200.0,-1200.0,-1440.0,20170103
1320.0,180.0,1140.0,1320.0,1140.0,20170104
540.0,0.0,540.0,540.0,540.0,20170105
6480.0,0.0,6480.0,6660.0,6660.0,20170106
-2160.0,0.0,-2160.0,-2160.0,-2160.0,20170109
-5400.0,60.0,-5460.0,-5280.0,-5340.0,20170110
1040.0,640.0,400.0,980.0,340.0,20170111
-4880.0,120.0,-5000.0,-5280.0,-5400.0,20170112
-640.0,120.0,-760.0,-640.0,-760.0,20170113
17160.0,0.0,17160.0,16640.0,16640.0,20170116
5200.0,0.0,5200.0,6240.0,6240.0,20170117
-1040.0,0.0,-1040.0,-1040.0,-1040.0,20170118
-2600.0,120.0,-2720.0,-2600.0,-2720.0,20170119
-2300.0,60.0,-2360.0,-2360.0,-2420.0,20170120
-4380.0,120.0,-4500.0,-5060.0,-5180.0,20170123
26700.0,680.0,26020.0,26720.0,26040.0,20170124
-33700.0,1020.0,-34720.0,-34360.0,-35380.0,20170125
11880.0,440.0,11440.0,11320.0,10880.0,20170126
22960.0,0.0,22960.0,22960.0,22960.0,20170203
-2640.0,100.0,-2740.0,-3200.0,-3300.0,20170206
6000.0,100.0,5900.0,5500.0,5400.0,20170207
-15780.0,280.0,-16060.0,-16060.0,-16340.0,20170208
3280.0,280.0,3000.0,4080.0,3800.0,20170209
-13540.0,740.0,-14280.0,-14060.0,-14800.0,20170210
6280.0,980.0,5300.0,6740.0,5760.0,20170213
16000.0,0.0,16000.0,16000.0,16000.0,20170214
-800.0,0.0,-800.0,-800.0,-800.0,20170215
9600.0,0.0,9600.0,12000.0,12000.0,20170216
41600.0,0.0,41600.0,0.0,0.0,20170217
-3200.0,0.0,-3200.0,40800.0,40800.0,20170220
9060.0,60.0,9000.0,10600.0,10540.0,20170221
6180.0,180.0,6000.0,5380.0,5200.0,20170222
26360.0,120.0,26240.0,27280.0,27160.0,20170223
4000.0,0.0,4000.0,8800.0,8800.0,20170224
