profit,comm,equity,profit_ZL,equity_ZL,day
-1390.0,250.0,-1640.0,-1390.0,-1640.0,20161230
-2600.0,1540.0,-4140.0,-3610.0,-5150.0,20170103
6080.0,1270.0,4810.0,6460.0,5190.0,20170104
-9000.0,760.0,-9760.0,-9000.0,-9760.0,20170105
-5450.0,2540.0,-7990.0,-3800.0,-6340.0,20170106
11550.0,0.0,11550.0,11550.0,11550.0,20170109
6600.0,0.0,6600.0,8250.0,8250.0,20170110
-9030.0,130.0,-9160.0,-7380.0,-7510.0,20170111
-3010.0,750.0,-3760.0,-4530.0,-5280.0,20170112
-33120.0,4310.0,-37430.0,-32230.0,-36540.0,20170113
26950.0,250.0,26700.0,28730.0,28480.0,20170116
-8120.0,510.0,-8630.0,-10150.0,-10660.0,20170117
76610.0,510.0,76100.0,73060.0,72550.0,20170118
-2030.0,0.0,-2030.0,-8120.0,-8120.0,20170119
18270.0,0.0,18270.0,12180.0,12180.0,20170120
16240.0,0.0,16240.0,18270.0,18270.0,20170123
-22330.0,0.0,-22330.0,-26390.0,-26390.0,20170124
-19150.0,2030.0,-21180.0,-16610.0,-18640.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
4200.0,630.0,3570.0,4200.0,3570.0,20170203
17010.0,380.0,16630.0,17010.0,16630.0,20170206
-2250.0,250.0,-2500.0,-2500.0,-2750.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
-2150.0,630.0,-2780.0,-2280.0,-2910.0,20170210
-4130.0,750.0,-4880.0,-4510.0,-5260.0,20170213
13460.0,1010.0,12450.0,14340.0,13330.0,20170214
7560.0,0.0,7560.0,7560.0,7560.0,20170215
-8600.0,260.0,-8860.0,-7080.0,-7340.0,20170216
-2560.0,1020.0,-3580.0,-1290.0,-2310.0,20170217
-7130.0,1140.0,-8270.0,-7760.0,-8900.0,20170220
-7530.0,890.0,-8420.0,-10710.0,-11600.0,20170221
13940.0,130.0,13810.0,13940.0,13810.0,20170222
-17780.0,0.0,-17780.0,-17780.0,-17780.0,20170223
0.0,0.0,0.0,-1270.0,-1270.0,20170224
