profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,0.0,0.0,20161230
0.0,0.0,0.0,0.0,0.0,20170103
-750.0,75.0,-825.0,-900.0,-975.0,20170104
2400.0,0.0,2400.0,2625.0,2625.0,20170105
-2025.0,75.0,-2100.0,-2100.0,-2175.0,20170106
13175.0,325.0,12850.0,13500.0,13175.0,20170109
52000.0,0.0,52000.0,50700.0,50700.0,20170110
-5200.0,0.0,-5200.0,-4550.0,-4550.0,20170111
-3575.0,0.0,-3575.0,-3575.0,-3575.0,20170112
-12675.0,325.0,-13000.0,-13000.0,-13325.0,20170113
-15950.0,275.0,-16225.0,-16225.0,-16500.0,20170116
3625.0,550.0,3075.0,3150.0,2600.0,20170117
-12650.0,275.0,-12925.0,-12100.0,-12375.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
-450.0,75.0,-525.0,-600.0,-675.0,20170120
-16800.0,475.0,-17275.0,-17200.0,-17675.0,20170123
-11375.0,325.0,-11700.0,-11225.0,-11550.0,20170124
-375.0,75.0,-450.0,-525.0,-600.0,20170125
0.0,75.0,-75.0,0.0,-75.0,20170126
-22225.0,525.0,-22750.0,-23000.0,-23525.0,20170203
8400.0,0.0,8400.0,9000.0,9000.0,20170206
-10400.0,0.0,-10400.0,-10200.0,-10200.0,20170207
-19400.0,600.0,-20000.0,-19275.0,-19875.0,20170208
4400.0,0.0,4400.0,2800.0,2800.0,20170209
37600.0,0.0,37600.0,34800.0,34800.0,20170210
41200.0,0.0,41200.0,43200.0,43200.0,20170213
-10400.0,400.0,-10800.0,-10800.0,-11200.0,20170214
0.0,0.0,0.0,0.0,0.0,20170215
0.0,0.0,0.0,0.0,0.0,20170216
0.0,0.0,0.0,0.0,0.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
0.0,0.0,0.0,0.0,0.0,20170221
0.0,0.0,0.0,0.0,0.0,20170222
0.0,0.0,0.0,0.0,0.0,20170223
0.0,0.0,0.0,0.0,0.0,20170224
0.0,0.0,0.0,0.0,0.0,20170227
-3450.0,225.0,-3675.0,0.0,-225.0,20170228
6300.0,0.0,6300.0,0.0,0.0,20170301
