myindex,sum
20150105_A,-310.0
20150105_AG,-110.0
20150105_AL,875.0
20150105_AU,3900.0
20150105_BU,540.0
20150105_C,160.0
20150105_CF,-1025.0
20150105_CS,310.0
20150105_CU,4900.0
20150105_FG,-260.0
20150105_HC,-740.0
20150105_I,-3300.0
20150105_J,200.0
20150105_JD,55.0
20150105_JM,-1620.0
20150105_L,300.0
20150105_M,960.0
20150105_MA,210.0
20150105_OI,-1080.0
20150105_PP,1240.0
20150105_RB,-1170.0
20150105_RM,-960.0
20150105_RU,-6600.0
20150105_SR,270.0
20150105_TA,20.0
20150105_YY,-960.0
20150105_ZC,0.0
20150105_ZN,-975.0
20150105_p,-260.0
20150106_A,-220.0
20150106_AG,1470.0
20150106_AL,525.0
20150106_AU,4799.99
20150106_BU,-720.0
20150106_C,-50.0
20150106_CF,-200.0
20150106_CS,400.0
20150106_CU,650.0
20150106_FG,-40.0
20150106_HC,-700.0
20150106_I,-1300.0
20150106_J,150.0
20150106_JD,-450.0
20150106_JM,-240.0
20150106_L,-3475.0
20150106_M,180.0
20150106_MA,-710.0
20150106_OI,-200.0
20150106_PP,-710.0
20150106_RB,-570.0
20150106_RM,120.0
20150106_RU,-2400.0
20150106_SR,1610.0
20150106_TA,190.0
20150106_YY,220.0
20150106_ZC,0.0
20150106_ZN,0.0
20150106_p,-220.0
20150107_A,-620.0
20150107_AG,90.0
20150107_AL,-300.0
20150107_AU,-799.99
20150107_BU,1400.0
20150107_C,90.0
20150107_CF,775.0
20150107_CS,50.0
20150107_CU,-600.0
20150107_FG,-2200.0
20150107_HC,300.0
20150107_I,-2250.0
20150107_J,2000.0
20150107_JD,-750.0
20150107_JM,-2610.0
20150107_L,-4850.0
20150107_M,-260.0
20150107_MA,-990.0
20150107_OI,1540.0
20150107_PP,60.0
20150107_RB,-150.0
20150107_RM,-490.0
20150107_RU,3000.0
20150107_SR,-220.0
20150107_TA,0.0
20150107_YY,-20.0
20150107_ZC,0.0
20150107_ZN,2550.0
20150107_p,-6500.0
20150108_A,-2110.0
20150108_AG,-560.0
20150108_AL,1275.0
20150108_AU,-3999.96
20150108_BU,2000.0
20150108_C,150.0
20150108_CF,-625.0
20150108_CS,-160.0
20150108_CU,2950.0
20150108_FG,2190.0
20150108_HC,3320.0
20150108_I,-3500.0
20150108_J,400.0
20150108_JD,35.0
20150108_JM,-4050.0
20150108_L,2975.0
20150108_M,-1800.0
20150108_MA,-1350.0
20150108_OI,1840.0
20150108_PP,145.0
20150108_RB,1150.0
20150108_RM,-690.0
20150108_RU,17200.0
20150108_SR,740.0
20150108_TA,180.0
20150108_YY,840.0
20150108_ZC,0.0
20150108_ZN,175.0
20150108_p,1400.0
20150109_A,-1410.0
20150109_AG,2300.0
20150109_AL,-1975.0
20150109_AU,16299.94
20150109_BU,4700.0
20150109_C,220.0
20150109_CF,-950.0
20150109_CS,-250.0
20150109_CU,5200.0
20150109_FG,-100.0
20150109_HC,6780.0
20150109_I,3000.0
20150109_J,-5900.0
20150109_JD,-285.0
20150109_JM,5070.0
20150109_L,5325.0
20150109_M,-650.0
20150109_MA,390.0
20150109_OI,-3080.0
20150109_PP,330.0
20150109_RB,3730.0
20150109_RM,-110.0
20150109_RU,-14150.0
20150109_SR,540.0
20150109_TA,-3010.0
20150109_YY,-1440.0
20150109_ZC,0.0
20150109_ZN,-475.0
20150109_p,-1940.0
20150112_A,-3910.0
20150112_AG,2550.0
20150112_AL,3050.0
20150112_AU,14249.96
20150112_BU,1460.0
20150112_C,-400.0
20150112_CF,4750.0
20150112_CS,-980.0
20150112_CU,11200.0
20150112_FG,3550.0
20150112_HC,6270.0
20150112_I,3350.0
20150112_J,9400.0
20150112_JD,-2050.0
20150112_JM,2880.0
20150112_L,2225.0
20150112_M,4270.0
20150112_MA,6740.0
20150112_OI,-6020.0
20150112_PP,-100.0
20150112_RB,2230.0
20150112_RM,4840.0
20150112_RU,-24600.0
20150112_SR,-50.0
20150112_TA,4380.0
20150112_YY,-4740.0
20150112_ZC,0.0
20150112_ZN,725.0
20150112_p,-6240.0
20150113_A,-200.0
20150113_AG,1020.0
20150113_AL,1575.0
20150113_AU,-11550.0
20150113_BU,280.0
20150113_C,-630.0
20150113_CF,750.0
20150113_CS,-1290.0
20150113_CU,44900.0
20150113_FG,-140.0
20150113_HC,4780.0
20150113_I,2400.0
20150113_J,-2400.0
20150113_JD,2145.0
20150113_JM,-1560.0
20150113_L,-4100.0
20150113_M,3080.0
20150113_MA,-2630.0
20150113_OI,1620.0
20150113_PP,-560.0
20150113_RB,1290.0
20150113_RM,2180.0
20150113_RU,12400.0
20150113_SR,-1840.0
20150113_TA,440.0
20150113_YY,1540.0
20150113_ZC,0.0
20150113_ZN,13225.0
20150113_p,980.0
20150114_A,-740.0
20150114_AG,-4705.0
20150114_AL,-3125.0
20150114_AU,-8100.07
20150114_BU,100.0
20150114_C,-130.0
20150114_CF,2700.0
20150114_CS,-740.0
20150114_CU,18450.0
20150114_FG,160.0
20150114_HC,3080.0
20150114_I,900.0
20150114_J,-1300.0
20150114_JD,460.0
20150114_JM,1860.0
20150114_L,-250.0
20150114_M,1350.0
20150114_MA,-240.0
20150114_OI,3960.0
20150114_PP,-4480.0
20150114_RB,2040.0
20150114_RM,2560.0
20150114_RU,23850.0
20150114_SR,-3500.0
20150114_TA,-1780.0
20150114_YY,1520.0
20150114_ZC,0.0
20150114_ZN,2750.0
20150114_p,3800.0
20150115_A,-260.0
20150115_AG,-5785.0
20150115_AL,1700.0
20150115_AU,-33199.92
20150115_BU,-1460.0
20150115_C,-130.0
20150115_CF,-10275.0
20150115_CS,590.0
20150115_CU,-8700.0
20150115_FG,-1180.0
20150115_HC,-1690.0
20150115_I,-7400.0
20150115_J,-5750.0
20150115_JD,355.0
20150115_JM,-720.0
20150115_L,2075.0
20150115_M,3570.0
20150115_MA,-10.0
20150115_OI,6340.0
20150115_PP,-925.0
20150115_RB,-4030.0
20150115_RM,3000.0
20150115_RU,-7500.0
20150115_SR,-1720.0
20150115_TA,-1710.0
20150115_YY,2620.0
20150115_ZC,0.0
20150115_ZN,-1900.0
20150115_p,2260.0
20150116_A,-1780.0
20150116_AG,16130.0
20150116_AL,4625.0
20150116_AU,45199.97
20150116_BU,-2220.0
20150116_C,30.0
20150116_CF,-1575.0
20150116_CS,3890.0
20150116_CU,-3850.0
20150116_FG,1200.0
20150116_HC,0.0
20150116_I,-4850.0
20150116_J,750.0
20150116_JD,-815.0
20150116_JM,840.0
20150116_L,2050.0
20150116_M,-1030.0
20150116_MA,460.0
20150116_OI,-7660.0
20150116_PP,5310.0
20150116_RB,-2230.0
20150116_RM,-2910.0
20150116_RU,0.0
20150116_SR,-1730.0
20150116_TA,2880.0
20150116_YY,-4900.0
20150116_ZC,0.0
20150116_ZN,0.0
20150116_p,-3860.0
20150119_A,-2420.0
20150119_AG,3815.0
20150119_AL,-3100.0
20150119_AU,-2850.03
20150119_BU,1060.0
20150119_C,0.0
20150119_CF,2350.0
20150119_CS,-560.0
20150119_CU,-3250.0
20150119_FG,-720.0
20150119_HC,0.0
20150119_I,-5150.0
20150119_J,7450.0
20150119_JD,-2190.0
20150119_JM,-12120.0
20150119_L,275.0
20150119_M,5070.0
20150119_MA,-70.0
20150119_OI,-3060.0
20150119_PP,-540.0
20150119_RB,-1720.0
20150119_RM,-6120.0
20150119_RU,0.0
20150119_SR,5340.0
20150119_TA,390.0
20150119_YY,-9500.0
20150119_ZC,0.0
20150119_ZN,1275.0
20150119_p,8460.0
20150120_A,-470.0
20150120_AG,12885.0
20150120_AL,-1575.0
20150120_AU,37250.11
20150120_BU,680.0
20150120_C,170.0
20150120_CF,-6175.0
20150120_CS,820.0
20150120_CU,-5800.0
20150120_FG,330.0
20150120_HC,0.0
20150120_I,-700.0
20150120_J,-8500.0
20150120_JD,-50.0
20150120_JM,-1740.0
20150120_L,-1525.0
20150120_M,-3360.0
20150120_MA,1530.0
20150120_OI,-2600.0
20150120_PP,-8235.0
20150120_RB,-10.0
20150120_RM,-2400.0
20150120_RU,0.0
20150120_SR,21430.0
20150120_TA,20.0
20150120_YY,-4440.0
20150120_ZC,0.0
20150120_ZN,4300.0
