C,stockdate,symbol,totalposition,profit,comm,equity
3194.0,2017-01-13 15:04:00,RB,0.0,,,
3284.0,2017-01-17 14:59:00,RB,0.0,0.0,0.0,0.0
3292.0,2017-01-18 14:59:00,RB,0.0,0.0,0.0,0.0
3256.0,2017-01-19 14:59:00,RB,0.0,-0.0,0.0,-0.0
3213.0,2017-01-20 14:23:06,rb,-1.0,-0.0,20.0,-20.0
3213.0,2017-01-20 14:23:06,rb,-2.0,-0.0,20.0,-20.0
3213.0,2017-01-20 14:23:06,rb,-4.0,-0.0,40.0,-40.0
3213.0,2017-01-20 14:23:06,rb,-7.0,-0.0,60.0,-60.0
3213.0,2017-01-20 14:23:06,rb,-8.0,-0.0,20.0,-20.0
3218.0,2017-01-20 14:24:45,rb,-15.0,-400.0,140.0,-540.0
3220.0,2017-01-20 14:31:10,rb,-23.0,-300.0,160.0,-460.0
3194.0,2017-01-20 14:59:00,rb,-23.0,5980.0,0.0,5980.0
