C,stockdate,symbol,totalposition,profit,comm,equity
0.0,2017-01-16 23:59:00,au,7.0,,,
273.2,2017-01-18 14:10:46,au,6.0,1912400.0,50.0,1912350.0
273.35,2017-01-18 14:12:46,au,5.0,900.0,50.0,850.0
271.3,2017-01-19 09:24:46,au,4.0,-10250.0,50.0,-10300.0
271.05,2017-01-19 09:43:46,au,3.0,-1000.0,50.0,-1050.0
270.8,2017-01-19 09:49:46,au,1.0,-750.0,100.0,-850.0
270.6,2017-01-19 10:06:04,au,0.0,-200.0,50.0,-250.0
270.65,2017-01-19 10:07:10,au,-1.0,0.0,50.0,-50.0
270.7,2017-01-19 10:11:03,au,-3.0,-50.0,100.0,-150.0
270.85,2017-01-19 10:31:09,au,-4.0,-450.0,50.0,-500.0
270.7,2017-01-19 10:45:45,au,-5.0,600.0,50.0,550.0
270.65,2017-01-19 10:46:13,au,-4.0,250.0,50.0,200.0
270.65,2017-01-19 10:56:09,au,-5.0,-0.0,50.0,-50.0
270.8,2017-01-19 11:24:04,au,-6.0,-750.0,50.0,-800.0
270.55,2017-01-19 14:48:46,au,-8.0,1500.0,100.0,1400.0
270.55,2017-01-19 14:48:46,au,-12.0,-0.0,200.0,-200.0
270.55,2017-01-19 14:49:15,au,-11.0,-0.0,50.0,-50.0
270.55,2017-01-19 14:49:15,au,-10.0,-0.0,50.0,-50.0
270.55,2017-01-19 14:49:16,au,-6.0,-0.0,200.0,-200.0
271.4,2017-01-20 14:59:00,au,-6.0,-5100.0,0.0,-5100.0
