C,stockdate,symbol,totalposition,profit,comm,equity
15100.0,2017-01-16 23:59:00,cf,-25.0,,,
15185.0,2017-01-17 10:57:52,CF,-24.0,-10625.0,25.0,-10650.0
15185.0,2017-01-17 10:57:52,CF,-20.0,-0.0,100.0,-100.0
15185.0,2017-01-17 10:58:09,CF,-22.0,-0.0,50.0,-50.0
15185.0,2017-01-17 10:58:09,CF,-25.0,-0.0,75.0,-75.0
15165.0,2017-01-17 11:26:51,CF,-24.0,2500.0,25.0,2475.0
15165.0,2017-01-17 11:26:51,CF,-23.0,-0.0,25.0,-25.0
15165.0,2017-01-17 11:26:54,CF,-22.0,-0.0,25.0,-25.0
15165.0,2017-01-17 11:26:59,CF,-20.0,-0.0,50.0,-50.0
15165.0,2017-01-17 11:26:59,CF,-21.0,-0.0,25.0,-25.0
15175.0,2017-01-17 13:46:08,CF,-18.0,-1050.0,75.0,-1125.0
15175.0,2017-01-17 13:46:08,CF,-15.0,-0.0,75.0,-75.0
15180.0,2017-01-17 13:46:44,CF,-20.0,-375.0,125.0,-500.0
15180.0,2017-01-17 14:01:05,CF,-18.0,-0.0,50.0,-50.0
15180.0,2017-01-17 14:01:05,CF,-17.0,-0.0,25.0,-25.0
15180.0,2017-01-17 14:01:05,CF,-13.0,-0.0,100.0,-100.0
15180.0,2017-01-17 14:01:08,CF,-12.0,-0.0,25.0,-25.0
15180.0,2017-01-17 14:01:10,CF,-10.0,-0.0,50.0,-50.0
15180.0,2017-01-17 14:01:10,CF,-11.0,-0.0,25.0,-25.0
15195.0,2017-01-17 14:10:24,CF,-8.0,-825.0,75.0,-900.0
15195.0,2017-01-17 14:10:24,CF,-5.0,-0.0,75.0,-75.0
15180.0,2017-01-17 14:26:48,CF,0.0,375.0,125.0,250.0
15180.0,2017-01-17 14:26:48,CF,5.0,0.0,125.0,-125.0
15165.0,2017-01-17 14:27:10,CF,-4.0,-375.0,225.0,-600.0
15165.0,2017-01-17 14:27:10,CF,0.0,-0.0,100.0,-100.0
15165.0,2017-01-17 14:27:10,CF,-5.0,0.0,125.0,-125.0
15165.0,2017-01-17 14:27:10,CF,4.0,-0.0,225.0,-225.0
15165.0,2017-01-17 14:27:10,CF,1.0,0.0,75.0,-75.0
15170.0,2017-01-17 14:53:53,CF,-2.0,25.0,75.0,-50.0
15170.0,2017-01-17 14:53:53,CF,-1.0,-0.0,25.0,-25.0
15170.0,2017-01-17 14:53:53,CF,4.0,-0.0,125.0,-125.0
15170.0,2017-01-17 14:53:53,CF,5.0,0.0,25.0,-25.0
15150.0,2017-01-17 14:54:44,CF,-4.0,-500.0,225.0,-725.0
15150.0,2017-01-17 14:54:44,CF,0.0,-0.0,100.0,-100.0
15150.0,2017-01-17 14:54:44,CF,-2.0,0.0,50.0,-50.0
15150.0,2017-01-17 14:54:44,CF,-5.0,-0.0,75.0,-75.0
15160.0,2017-01-17 14:59:00,CF,-5.0,-250.0,0.0,-250.0
15170.0,2017-01-17 14:59:44,CF,5.0,-250.0,250.0,-500.0
15170.0,2017-01-17 14:59:44,CF,0.0,0.0,125.0,-125.0
15115.0,2017-01-18 09:00:47,CF,3.0,-0.0,75.0,-75.0
15115.0,2017-01-18 09:00:47,CF,2.0,0.0,25.0,-25.0
15115.0,2017-01-18 09:00:47,CF,0.0,0.0,50.0,-50.0
15115.0,2017-01-18 09:00:47,CF,-1.0,0.0,25.0,-25.0
15115.0,2017-01-18 09:00:47,CF,-3.0,-0.0,50.0,-50.0
15115.0,2017-01-18 09:00:48,CF,-4.0,-0.0,25.0,-25.0
15115.0,2017-01-18 09:00:49,CF,-5.0,-0.0,25.0,-25.0
15135.0,2017-01-18 09:01:18,CF,-2.0,-500.0,75.0,-575.0
15135.0,2017-01-18 09:01:18,CF,5.0,-0.0,175.0,-175.0
15135.0,2017-01-18 09:01:18,CF,4.0,0.0,25.0,-25.0
15135.0,2017-01-18 09:01:18,CF,-3.0,0.0,175.0,-175.0
15135.0,2017-01-18 09:01:18,CF,0.0,-0.0,75.0,-75.0
15135.0,2017-01-18 09:01:18,CF,1.0,0.0,25.0,-25.0
15080.0,2017-01-18 09:32:48,CF,3.0,-275.0,50.0,-325.0
15060.0,2017-01-18 09:45:47,CF,0.0,-300.0,75.0,-375.0
15060.0,2017-01-18 09:45:47,CF,-3.0,0.0,75.0,-75.0
15070.0,2017-01-18 09:52:08,CF,-4.0,-150.0,25.0,-175.0
15070.0,2017-01-18 09:52:09,CF,-5.0,-0.0,25.0,-25.0
15070.0,2017-01-18 09:52:09,CF,-6.0,-0.0,25.0,-25.0
15070.0,2017-01-18 09:52:21,CF,-7.0,-0.0,25.0,-25.0
15070.0,2017-01-18 09:52:26,CF,-8.0,-0.0,25.0,-25.0
15070.0,2017-01-18 09:53:47,CF,-18.0,-0.0,250.0,-250.0
15075.0,2017-01-18 09:54:48,CF,-19.0,-450.0,25.0,-475.0
15075.0,2017-01-18 09:54:48,CF,-20.0,-0.0,25.0,-25.0
15075.0,2017-01-18 09:54:49,CF,-21.0,-0.0,25.0,-25.0
15075.0,2017-01-18 09:54:54,CF,-22.0,-0.0,25.0,-25.0
15075.0,2017-01-18 09:54:54,CF,-23.0,-0.0,25.0,-25.0
15070.0,2017-01-18 10:31:08,CF,-28.0,575.0,125.0,450.0
15125.0,2017-01-18 14:59:00,CF,-28.0,-7700.0,0.0,-7700.0
15125.0,2017-01-19 09:22:03,CF,-26.0,-0.0,50.0,-50.0
15125.0,2017-01-19 09:22:03,CF,-27.0,-0.0,25.0,-25.0
15125.0,2017-01-19 09:22:03,CF,-23.0,-0.0,100.0,-100.0
15170.0,2017-01-19 10:10:14,CF,-22.0,-5175.0,25.0,-5200.0
15170.0,2017-01-19 10:10:14,CF,-21.0,-0.0,25.0,-25.0
15170.0,2017-01-19 10:10:14,CF,-20.0,-0.0,25.0,-25.0
15170.0,2017-01-19 10:10:14,CF,-18.0,-0.0,50.0,-50.0
15155.0,2017-01-19 10:12:57,CF,-13.0,1350.0,125.0,1225.0
15155.0,2017-01-19 10:13:21,CF,-18.0,-0.0,125.0,-125.0
15190.0,2017-01-19 10:31:21,CF,0.0,-3150.0,450.0,-3600.0
15190.0,2017-01-19 10:31:21,CF,-3.0,0.0,75.0,-75.0
15190.0,2017-01-19 10:31:21,CF,-4.0,-0.0,25.0,-25.0
15190.0,2017-01-19 10:31:21,CF,-9.0,-0.0,125.0,-125.0
15190.0,2017-01-19 10:31:21,CF,-14.0,-0.0,125.0,-125.0
15190.0,2017-01-19 10:31:21,CF,-16.0,-0.0,50.0,-50.0
15190.0,2017-01-19 10:31:21,CF,-17.0,-0.0,25.0,-25.0
15190.0,2017-01-19 10:31:21,CF,-6.0,-0.0,275.0,-275.0
15190.0,2017-01-19 10:31:21,CF,-15.0,-0.0,225.0,-225.0
15190.0,2017-01-19 10:32:10,CF,5.0,-0.0,500.0,-500.0
15195.0,2017-01-19 10:32:52,CF,8.0,125.0,75.0,50.0
15195.0,2017-01-19 10:32:52,CF,9.0,0.0,25.0,-25.0
15195.0,2017-01-19 10:32:52,CF,10.0,0.0,25.0,-25.0
15195.0,2017-01-19 10:33:07,CF,6.0,0.0,100.0,-100.0
15195.0,2017-01-19 10:33:07,CF,5.0,0.0,25.0,-25.0
15180.0,2017-01-19 10:40:31,CF,8.0,-375.0,75.0,-450.0
15180.0,2017-01-19 10:40:31,CF,10.0,0.0,50.0,-50.0
15180.0,2017-01-19 10:40:31,CF,6.0,0.0,100.0,-100.0
15185.0,2017-01-19 10:49:23,CF,11.0,150.0,125.0,25.0
15185.0,2017-01-19 10:49:24,CF,12.0,0.0,25.0,-25.0
15185.0,2017-01-19 10:49:27,CF,13.0,0.0,25.0,-25.0
15185.0,2017-01-19 10:49:27,CF,14.0,0.0,25.0,-25.0
15185.0,2017-01-19 10:49:33,CF,15.0,0.0,25.0,-25.0
15190.0,2017-01-19 10:49:58,CF,18.0,375.0,75.0,300.0
15190.0,2017-01-19 10:50:13,CF,17.0,0.0,25.0,-25.0
15190.0,2017-01-19 10:50:13,CF,16.0,0.0,25.0,-25.0
15190.0,2017-01-19 10:50:13,CF,15.0,0.0,25.0,-25.0
15250.0,2017-01-19 11:06:25,CF,16.0,4500.0,25.0,4475.0
