C,stockdate,symbol,totalposition,profit,comm,equity
0.0,2017-01-16 23:59:00,cu,15.0,,,
47350.0,2017-01-17 09:57:43,cu,14.0,3551250.0,50.0,3551200.0
47340.0,2017-01-17 10:03:43,cu,13.0,-700.0,50.0,-750.0
47290.0,2017-01-17 10:06:13,cu,10.0,-3250.0,150.0,-3400.0
47290.0,2017-01-17 10:07:08,cu,7.0,0.0,150.0,-150.0
47200.0,2017-01-17 10:10:43,cu,5.0,-3150.0,100.0,-3250.0
47300.0,2017-01-17 10:31:07,cu,4.0,2500.0,50.0,2450.0
47300.0,2017-01-17 10:31:07,cu,3.0,0.0,50.0,-50.0
47300.0,2017-01-17 10:31:07,cu,0.0,0.0,150.0,-150.0
46260.0,2017-01-18 09:26:46,cu,-1.0,-0.0,50.0,-50.0
46600.0,2017-01-18 14:59:00,cu,-1.0,-1700.0,0.0,-1700.0
46710.0,2017-01-19 14:48:46,cu,-2.0,-550.0,50.0,-600.0
46700.0,2017-01-19 14:48:50,cu,-1.0,100.0,50.0,50.0
46730.0,2017-01-19 14:59:00,cu,-1.0,-150.0,0.0,-150.0
46080.0,2017-01-20 14:59:00,cu,-1.0,3250.0,0.0,3250.0
