C,stockdate,symbol,totalposition,profit,comm,equity
0.0,2017-01-11 15:04:00,J,0.0,,,
1662.0,2017-01-17 14:59:00,J,0.0,0.0,0.0,0.0
1676.5,2017-01-18 14:59:00,J,0.0,0.0,0.0,0.0
1677.5,2017-01-19 14:59:00,J,0.0,0.0,0.0,0.0
1645.0,2017-01-20 14:20:47,j,-1.0,-0.0,50.0,-50.0
1644.0,2017-01-20 14:21:18,j,0.0,100.0,50.0,50.0
1644.0,2017-01-20 14:41:46,j,-1.0,0.0,50.0,-50.0
1647.0,2017-01-20 14:42:47,j,0.0,-300.0,50.0,-350.0
1613.5,2017-01-20 14:58:15,j,-1.0,-0.0,50.0,-50.0
1611.0,2017-01-20 14:59:00,j,-1.0,250.0,0.0,250.0
