C,stockdate,symbol,totalposition,profit,comm,equity
6330.0,2017-01-16 23:59:00,p,16.0,,,
6318.0,2017-01-17 14:59:00,p,16.0,-1920.0,0.0,-1920.0
6318.0,2017-01-18 14:27:02,p,20.0,0.0,80.0,-80.0
6318.0,2017-01-18 14:30:53,p,23.0,0.0,60.0,-60.0
6312.0,2017-01-18 14:59:00,p,23.0,-1380.0,0.0,-1380.0
6318.0,2017-01-19 09:54:59,p,26.0,1380.0,60.0,1320.0
6306.0,2017-01-19 14:59:00,p,26.0,-3120.0,0.0,-3120.0
6292.0,2017-01-20 09:12:46,p,20.0,-3640.0,120.0,-3760.0
6262.0,2017-01-20 09:21:46,p,15.0,-6000.0,100.0,-6100.0
6262.0,2017-01-20 09:21:46,p,14.0,0.0,20.0,-20.0
6262.0,2017-01-20 09:21:46,p,17.0,0.0,60.0,-60.0
6262.0,2017-01-20 09:21:46,p,16.0,0.0,20.0,-20.0
6262.0,2017-01-20 09:21:46,p,13.0,0.0,60.0,-60.0
6266.0,2017-01-20 09:24:46,p,10.0,520.0,60.0,460.0
6268.0,2017-01-20 09:25:47,p,7.0,200.0,60.0,140.0
6266.0,2017-01-20 09:26:46,p,4.0,-140.0,60.0,-200.0
6266.0,2017-01-20 09:26:46,p,-3.0,0.0,140.0,-140.0
6264.0,2017-01-20 09:32:46,p,-5.0,60.0,40.0,20.0
6264.0,2017-01-20 09:32:46,p,-10.0,-0.0,100.0,-100.0
6282.0,2017-01-20 14:59:00,p,-10.0,-1800.0,0.0,-1800.0
