C,stockdate,symbol,totalposition,profit,comm,equity
5452.0,2017-01-16 23:59:00,ta,38.0,,,
5420.0,2017-01-17 11:24:44,TA,31.0,-6080.0,70.0,-6150.0
5422.0,2017-01-17 11:25:21,TA,32.0,310.0,10.0,300.0
5422.0,2017-01-17 11:25:21,TA,36.0,0.0,40.0,-40.0
5422.0,2017-01-17 11:25:21,TA,38.0,0.0,20.0,-20.0
5422.0,2017-01-17 13:31:09,TA,35.0,0.0,30.0,-30.0
5422.0,2017-01-17 13:31:09,TA,34.0,0.0,10.0,-10.0
5422.0,2017-01-17 13:31:09,TA,31.0,0.0,30.0,-30.0
5436.0,2017-01-17 14:59:00,TA,31.0,2170.0,0.0,2170.0
5416.0,2017-01-18 09:32:47,TA,23.0,-3100.0,80.0,-3180.0
5416.0,2017-01-18 09:32:47,TA,24.0,0.0,10.0,-10.0
5416.0,2017-01-18 14:59:00,TA,24.0,0.0,0.0,0.0
5414.0,2017-01-18 14:59:47,TA,18.0,-240.0,60.0,-300.0
5414.0,2017-01-18 14:59:47,TA,16.0,0.0,20.0,-20.0
5414.0,2017-01-18 14:59:47,TA,15.0,0.0,10.0,-10.0
5414.0,2017-01-18 14:59:47,TA,19.0,0.0,40.0,-40.0
5418.0,2017-01-19 09:00:16,TA,16.0,380.0,30.0,350.0
5418.0,2017-01-19 09:00:16,TA,17.0,0.0,10.0,-10.0
5418.0,2017-01-19 09:00:16,TA,18.0,0.0,10.0,-10.0
5418.0,2017-01-19 09:00:17,TA,20.0,0.0,20.0,-20.0
5418.0,2017-01-19 09:00:17,TA,21.0,0.0,10.0,-10.0
5418.0,2017-01-19 09:00:17,TA,23.0,0.0,20.0,-20.0
5414.0,2017-01-19 09:12:46,TA,15.0,-460.0,80.0,-540.0
5414.0,2017-01-19 09:12:46,TA,16.0,0.0,10.0,-10.0
5448.0,2017-01-19 13:31:20,TA,23.0,2720.0,70.0,2650.0
5456.0,2017-01-19 13:32:49,TA,24.0,920.0,10.0,910.0
5456.0,2017-01-19 13:32:49,TA,25.0,0.0,10.0,-10.0
5456.0,2017-01-19 13:32:50,TA,26.0,0.0,10.0,-10.0
5456.0,2017-01-19 13:32:52,TA,31.0,0.0,50.0,-50.0
5456.0,2017-01-19 13:33:06,TA,30.0,0.0,10.0,-10.0
5456.0,2017-01-19 13:33:06,TA,27.0,0.0,30.0,-30.0
5456.0,2017-01-19 13:33:06,TA,26.0,0.0,10.0,-10.0
5456.0,2017-01-19 13:33:06,TA,24.0,0.0,20.0,-20.0
5456.0,2017-01-19 13:33:06,TA,23.0,0.0,10.0,-10.0
5456.0,2017-01-19 13:34:39,TA,31.0,0.0,80.0,-80.0
5462.0,2017-01-19 13:59:38,TA,38.0,930.0,70.0,860.0
5452.0,2017-01-19 14:59:00,TA,38.0,-1900.0,0.0,-1900.0
5444.0,2017-01-20 14:00:48,TA,46.0,-1520.0,80.0,-1600.0
5428.0,2017-01-20 14:25:46,TA,45.0,-3680.0,10.0,-3690.0
5428.0,2017-01-20 14:25:46,TA,31.0,0.0,140.0,-140.0
5428.0,2017-01-20 14:25:46,TA,43.0,0.0,120.0,-120.0
5428.0,2017-01-20 14:25:46,TA,40.0,0.0,30.0,-30.0
5428.0,2017-01-20 14:25:46,TA,42.0,0.0,20.0,-20.0
5428.0,2017-01-20 14:25:46,TA,32.0,0.0,100.0,-100.0
5430.0,2017-01-20 14:26:23,TA,46.0,320.0,140.0,180.0
5424.0,2017-01-20 14:38:47,TA,45.0,-1380.0,10.0,-1390.0
5424.0,2017-01-20 14:38:47,TA,41.0,0.0,40.0,-40.0
5424.0,2017-01-20 14:38:47,TA,35.0,0.0,60.0,-60.0
5424.0,2017-01-20 14:38:47,TA,34.0,0.0,10.0,-10.0
5424.0,2017-01-20 14:38:47,TA,33.0,0.0,10.0,-10.0
5424.0,2017-01-20 14:38:47,TA,32.0,0.0,10.0,-10.0
5424.0,2017-01-20 14:38:47,TA,31.0,0.0,10.0,-10.0
5414.0,2017-01-20 14:41:46,TA,20.0,-1550.0,110.0,-1660.0
5414.0,2017-01-20 14:41:46,TA,23.0,0.0,30.0,-30.0
5414.0,2017-01-20 14:41:46,TA,24.0,0.0,10.0,-10.0
5414.0,2017-01-20 14:41:46,TA,27.0,0.0,30.0,-30.0
5414.0,2017-01-20 14:41:46,TA,22.0,0.0,50.0,-50.0
5414.0,2017-01-20 14:41:46,TA,28.0,0.0,60.0,-60.0
5414.0,2017-01-20 14:41:47,TA,19.0,0.0,90.0,-90.0
5414.0,2017-01-20 14:41:47,TA,15.0,0.0,40.0,-40.0
5408.0,2017-01-20 14:42:53,TA,18.0,-450.0,30.0,-480.0
5408.0,2017-01-20 14:42:53,TA,20.0,0.0,20.0,-20.0
5408.0,2017-01-20 14:42:53,TA,30.0,0.0,100.0,-100.0
5408.0,2017-01-20 14:42:53,TA,31.0,0.0,10.0,-10.0
5410.0,2017-01-20 14:45:47,TA,23.0,310.0,80.0,230.0
5412.0,2017-01-20 14:46:19,TA,31.0,230.0,80.0,150.0
5406.0,2017-01-20 14:51:47,TA,24.0,-930.0,70.0,-1000.0
5406.0,2017-01-20 14:51:47,TA,17.0,0.0,70.0,-70.0
5406.0,2017-01-20 14:51:47,TA,15.0,0.0,20.0,-20.0
5408.0,2017-01-20 14:52:10,TA,24.0,150.0,90.0,60.0
5408.0,2017-01-20 14:52:10,TA,31.0,0.0,70.0,-70.0
5404.0,2017-01-20 14:57:46,TA,28.0,-620.0,30.0,-650.0
5404.0,2017-01-20 14:57:46,TA,27.0,0.0,10.0,-10.0
5404.0,2017-01-20 14:57:46,TA,24.0,0.0,30.0,-30.0
5404.0,2017-01-20 14:57:46,TA,23.0,0.0,10.0,-10.0
5404.0,2017-01-20 14:58:16,TA,16.0,0.0,70.0,-70.0
5404.0,2017-01-20 14:58:16,TA,15.0,0.0,10.0,-10.0
5400.0,2017-01-20 14:59:00,TA,15.0,-300.0,0.0,-300.0
5400.0,2017-01-20 14:59:47,TA,-7.0,0.0,220.0,-220.0
5400.0,2017-01-20 14:59:47,TA,8.0,-0.0,150.0,-150.0
5400.0,2017-01-20 14:59:47,TA,-1.0,0.0,90.0,-90.0
5400.0,2017-01-20 14:59:47,TA,7.0,-0.0,80.0,-80.0
5400.0,2017-01-20 14:59:47,TA,-4.0,0.0,110.0,-110.0
5400.0,2017-01-20 14:59:47,TA,-15.0,-0.0,110.0,-110.0
5400.0,2017-01-20 14:59:47,TA,-14.0,-0.0,10.0,-10.0
5400.0,2017-01-20 14:59:47,TA,-12.0,-0.0,20.0,-20.0
