C,stockdate,symbol,totalposition,profit,comm,equity
3426.0,2017-01-16 23:59:00,jd,-11.0,,,
3460.0,2017-01-17 09:20:49,jd,-6.0,-1870.0,50.0,-1920.0
3460.0,2017-01-17 09:20:49,jd,-5.0,-0.0,10.0,-10.0
3472.0,2017-01-17 09:25:46,jd,-4.0,-300.0,10.0,-310.0
3472.0,2017-01-17 09:25:46,jd,-3.0,-0.0,10.0,-10.0
3472.0,2017-01-17 09:25:46,jd,-2.0,-0.0,10.0,-10.0
3472.0,2017-01-17 09:25:46,jd,0.0,-0.0,20.0,-20.0
3469.0,2017-01-17 09:26:44,jd,5.0,-0.0,50.0,-50.0
3474.0,2017-01-17 09:28:51,jd,6.0,125.0,10.0,115.0
3474.0,2017-01-17 09:28:51,jd,8.0,0.0,20.0,-20.0
3474.0,2017-01-17 09:28:52,jd,11.0,0.0,30.0,-30.0
3465.0,2017-01-17 09:32:44,jd,13.0,-495.0,20.0,-515.0
3466.0,2017-01-17 09:32:46,jd,21.0,65.0,80.0,-15.0
3468.0,2017-01-17 09:34:44,jd,19.0,210.0,20.0,190.0
3468.0,2017-01-17 09:34:44,jd,17.0,0.0,20.0,-20.0
3468.0,2017-01-17 09:34:44,jd,16.0,0.0,10.0,-10.0
3459.0,2017-01-17 09:44:03,jd,21.0,-720.0,50.0,-770.0
3461.0,2017-01-17 09:51:46,jd,22.0,210.0,10.0,200.0
3461.0,2017-01-17 09:51:46,jd,25.0,0.0,30.0,-30.0
3461.0,2017-01-17 09:51:47,jd,27.0,0.0,20.0,-20.0
3382.0,2017-01-17 10:04:14,jd,26.0,-10665.0,10.0,-10675.0
3382.0,2017-01-17 10:04:14,jd,25.0,0.0,10.0,-10.0
3382.0,2017-01-17 10:04:14,jd,16.0,0.0,90.0,-90.0
3388.0,2017-01-17 10:07:09,jd,5.0,480.0,110.0,370.0
3388.0,2017-01-17 10:07:09,jd,10.0,0.0,50.0,-50.0
3385.0,2017-01-17 10:10:44,jd,2.0,-150.0,80.0,-230.0
3385.0,2017-01-17 10:10:44,jd,0.0,0.0,20.0,-20.0
3385.0,2017-01-17 10:10:44,jd,-3.0,0.0,30.0,-30.0
3385.0,2017-01-17 10:10:45,jd,-11.0,-0.0,80.0,-80.0
3388.0,2017-01-17 10:11:19,jd,-2.0,-165.0,90.0,-255.0
3388.0,2017-01-17 10:11:19,jd,-1.0,-0.0,10.0,-10.0
3388.0,2017-01-17 10:11:19,jd,0.0,-0.0,10.0,-10.0
3390.0,2017-01-17 10:12:44,jd,-2.0,0.0,20.0,-20.0
3390.0,2017-01-17 10:12:45,jd,-3.0,-0.0,10.0,-10.0
3390.0,2017-01-17 10:12:46,jd,-11.0,-0.0,80.0,-80.0
3390.0,2017-01-17 10:12:46,jd,-6.0,-0.0,50.0,-50.0
3390.0,2017-01-17 10:12:46,jd,-4.0,-0.0,20.0,-20.0
3390.0,2017-01-17 10:12:46,jd,-5.0,-0.0,10.0,-10.0
3390.0,2017-01-17 10:12:47,jd,-12.0,-0.0,70.0,-70.0
3390.0,2017-01-17 10:12:48,jd,-13.0,-0.0,10.0,-10.0
3390.0,2017-01-17 10:12:49,jd,-16.0,-0.0,30.0,-30.0
3389.0,2017-01-17 10:13:17,jd,-7.0,80.0,90.0,-10.0
3389.0,2017-01-17 10:13:17,jd,0.0,-0.0,70.0,-70.0
3383.0,2017-01-17 10:31:09,jd,-1.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:09,jd,-2.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:10,jd,-16.0,-0.0,140.0,-140.0
3383.0,2017-01-17 10:31:10,jd,-17.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:10,jd,-15.0,-0.0,20.0,-20.0
3383.0,2017-01-17 10:31:10,jd,-13.0,-0.0,20.0,-20.0
3383.0,2017-01-17 10:31:10,jd,-12.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:10,jd,-14.0,-0.0,20.0,-20.0
3383.0,2017-01-17 10:31:11,jd,-18.0,-0.0,40.0,-40.0
3383.0,2017-01-17 10:31:11,jd,-28.0,-0.0,100.0,-100.0
3383.0,2017-01-17 10:31:11,jd,-29.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:12,jd,-30.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:12,jd,-31.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:12,jd,-32.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:12,jd,-34.0,-0.0,20.0,-20.0
3383.0,2017-01-17 10:31:13,jd,-36.0,-0.0,20.0,-20.0
3383.0,2017-01-17 10:31:13,jd,-35.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:13,jd,-37.0,-0.0,20.0,-20.0
3383.0,2017-01-17 10:31:14,jd,-43.0,-0.0,60.0,-60.0
3383.0,2017-01-17 10:31:14,jd,-41.0,-0.0,20.0,-20.0
3383.0,2017-01-17 10:31:14,jd,-42.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:14,jd,-39.0,-0.0,30.0,-30.0
3383.0,2017-01-17 10:31:14,jd,-38.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:31:14,jd,-40.0,-0.0,20.0,-20.0
3386.0,2017-01-17 10:31:44,jd,-57.0,-600.0,170.0,-770.0
3386.0,2017-01-17 10:31:44,jd,-44.0,-0.0,130.0,-130.0
3386.0,2017-01-17 10:31:44,jd,-45.0,-0.0,10.0,-10.0
3386.0,2017-01-17 10:31:45,jd,-59.0,-0.0,140.0,-140.0
3387.0,2017-01-17 10:38:44,jd,-64.0,-295.0,50.0,-345.0
3388.0,2017-01-17 10:39:13,jd,-59.0,-320.0,50.0,-370.0
3382.0,2017-01-17 10:45:44,jd,-60.0,1770.0,10.0,1760.0
3382.0,2017-01-17 10:45:44,jd,-62.0,-0.0,20.0,-20.0
3382.0,2017-01-17 10:45:44,jd,-63.0,-0.0,10.0,-10.0
3382.0,2017-01-17 10:45:44,jd,-64.0,-0.0,10.0,-10.0
3383.0,2017-01-17 10:49:09,jd,-68.0,-320.0,40.0,-360.0
3383.0,2017-01-17 10:49:09,jd,-69.0,-0.0,10.0,-10.0
3366.0,2017-01-17 11:21:44,jd,-71.0,5865.0,20.0,5845.0
3366.0,2017-01-17 11:21:44,jd,-72.0,-0.0,10.0,-10.0
3366.0,2017-01-17 11:21:44,jd,-75.0,-0.0,30.0,-30.0
3380.0,2017-01-17 14:59:00,jd,-75.0,-5250.0,0.0,-5250.0
3388.0,2017-01-18 14:59:00,jd,-75.0,-3000.0,0.0,-3000.0
3423.0,2017-01-19 09:10:46,jd,-71.0,-13125.0,40.0,-13165.0
3423.0,2017-01-19 09:10:46,jd,-61.0,-0.0,100.0,-100.0
3423.0,2017-01-19 09:10:46,jd,-60.0,-0.0,10.0,-10.0
3423.0,2017-01-19 09:10:46,jd,-59.0,-0.0,10.0,-10.0
3423.0,2017-01-19 09:10:46,jd,-74.0,-0.0,150.0,-150.0
3421.0,2017-01-19 09:12:54,jd,-58.0,740.0,160.0,580.0
3421.0,2017-01-19 09:12:54,jd,-57.0,-0.0,10.0,-10.0
3421.0,2017-01-19 09:12:54,jd,-56.0,-0.0,10.0,-10.0
3421.0,2017-01-19 09:12:54,jd,-54.0,-0.0,20.0,-20.0
3421.0,2017-01-19 09:12:54,jd,-50.0,-0.0,40.0,-40.0
3421.0,2017-01-19 09:12:55,jd,-43.0,-0.0,70.0,-70.0
3421.0,2017-01-19 09:12:55,jd,-48.0,-0.0,50.0,-50.0
3428.0,2017-01-19 09:20:51,jd,-42.0,-1680.0,60.0,-1740.0
3428.0,2017-01-19 09:20:52,jd,-40.0,-0.0,20.0,-20.0
3428.0,2017-01-19 09:20:52,jd,-39.0,-0.0,10.0,-10.0
3428.0,2017-01-19 09:20:53,jd,-38.0,-0.0,10.0,-10.0
3428.0,2017-01-19 09:20:53,jd,-34.0,-0.0,40.0,-40.0
3428.0,2017-01-19 09:20:53,jd,-37.0,-0.0,30.0,-30.0
3428.0,2017-01-19 09:20:53,jd,-36.0,-0.0,10.0,-10.0
3428.0,2017-01-19 09:20:53,jd,-35.0,-0.0,10.0,-10.0
3428.0,2017-01-19 09:20:54,jd,-33.0,-0.0,20.0,-20.0
3428.0,2017-01-19 09:20:54,jd,-32.0,-0.0,10.0,-10.0
3426.0,2017-01-19 09:23:00,jd,-31.0,320.0,10.0,310.0
3426.0,2017-01-19 09:23:00,jd,-29.0,-0.0,20.0,-20.0
3426.0,2017-01-19 09:23:00,jd,-28.0,-0.0,10.0,-10.0
3426.0,2017-01-19 09:23:00,jd,-27.0,-0.0,10.0,-10.0
3427.0,2017-01-19 09:25:02,jd,-25.0,-135.0,20.0,-155.0
3427.0,2017-01-19 09:25:03,jd,-21.0,-0.0,40.0,-40.0
3428.0,2017-01-19 09:25:03,jd,-24.0,-105.0,30.0,-135.0
3428.0,2017-01-19 09:25:03,jd,-23.0,-0.0,10.0,-10.0
3426.0,2017-01-19 09:26:50,jd,0.0,230.0,230.0,0.0
3425.0,2017-01-19 09:28:46,jd,2.0,-0.0,20.0,-20.0
3425.0,2017-01-19 09:28:47,jd,3.0,0.0,10.0,-10.0
3425.0,2017-01-19 09:28:48,jd,4.0,0.0,10.0,-10.0
3425.0,2017-01-19 09:28:48,jd,5.0,0.0,10.0,-10.0
3434.0,2017-01-19 09:32:48,jd,16.0,225.0,110.0,115.0
3434.0,2017-01-19 09:32:48,jd,8.0,0.0,80.0,-80.0
3434.0,2017-01-19 09:32:48,jd,11.0,0.0,30.0,-30.0
3434.0,2017-01-19 09:32:48,jd,9.0,0.0,20.0,-20.0
3432.0,2017-01-19 09:35:09,jd,17.0,-90.0,80.0,-170.0
3432.0,2017-01-19 09:35:15,jd,20.0,0.0,30.0,-30.0
3432.0,2017-01-19 09:35:16,jd,21.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:49:56,jd,22.0,-105.0,10.0,-115.0
3431.0,2017-01-19 09:49:56,jd,23.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:49:56,jd,24.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:49:56,jd,23.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:49:56,jd,26.0,0.0,30.0,-30.0
3431.0,2017-01-19 09:49:57,jd,25.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:49:57,jd,21.0,0.0,40.0,-40.0
3433.0,2017-01-19 09:51:17,jd,27.0,210.0,60.0,150.0
3434.0,2017-01-19 09:52:05,jd,28.0,135.0,10.0,125.0
3434.0,2017-01-19 09:52:07,jd,32.0,0.0,40.0,-40.0
3434.0,2017-01-19 09:52:07,jd,29.0,0.0,30.0,-30.0
3429.0,2017-01-19 09:53:55,jd,33.0,-725.0,40.0,-765.0
3429.0,2017-01-19 09:53:55,jd,43.0,0.0,100.0,-100.0
3431.0,2017-01-19 09:55:07,jd,40.0,430.0,30.0,400.0
3431.0,2017-01-19 09:55:10,jd,39.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:55:11,jd,38.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:55:12,jd,37.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:55:13,jd,36.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:55:15,jd,35.0,0.0,10.0,-10.0
3431.0,2017-01-19 09:55:16,jd,32.0,0.0,30.0,-30.0
3431.0,2017-01-19 09:55:16,jd,34.0,0.0,20.0,-20.0
3434.0,2017-01-19 10:06:11,jd,34.0,510.0,0.0,510.0
3434.0,2017-01-19 10:06:12,jd,35.0,0.0,10.0,-10.0
3434.0,2017-01-19 10:06:16,jd,37.0,0.0,20.0,-20.0
3433.0,2017-01-19 10:11:23,jd,40.0,-185.0,30.0,-215.0
3433.0,2017-01-19 10:11:23,jd,43.0,0.0,30.0,-30.0
3443.0,2017-01-19 10:31:12,jd,46.0,2150.0,30.0,2120.0
3443.0,2017-01-19 10:31:12,jd,50.0,0.0,40.0,-40.0
3443.0,2017-01-19 10:31:12,jd,53.0,0.0,30.0,-30.0
3440.0,2017-01-19 10:32:55,jd,59.0,-795.0,60.0,-855.0
3439.0,2017-01-19 10:33:07,jd,57.0,-295.0,20.0,-315.0
3439.0,2017-01-19 10:33:07,jd,58.0,0.0,10.0,-10.0
3439.0,2017-01-19 10:33:07,jd,56.0,0.0,20.0,-20.0
3439.0,2017-01-19 10:33:09,jd,53.0,0.0,30.0,-30.0
3435.0,2017-01-19 10:40:09,jd,59.0,-1060.0,60.0,-1120.0
3424.0,2017-01-19 14:59:00,jd,59.0,-3245.0,0.0,-3245.0
3389.0,2017-01-20 10:31:46,jd,56.0,-10325.0,30.0,-10355.0
3389.0,2017-01-20 10:31:46,jd,55.0,0.0,10.0,-10.0
3389.0,2017-01-20 10:31:47,jd,53.0,0.0,20.0,-20.0
3389.0,2017-01-20 10:31:48,jd,52.0,0.0,10.0,-10.0
3389.0,2017-01-20 10:31:51,jd,50.0,0.0,20.0,-20.0
3389.0,2017-01-20 10:31:52,jd,49.0,0.0,10.0,-10.0
3389.0,2017-01-20 10:31:53,jd,48.0,0.0,10.0,-10.0
3381.0,2017-01-20 10:31:57,jd,43.0,-1920.0,50.0,-1970.0
3387.0,2017-01-20 10:58:46,jd,34.0,1290.0,90.0,1200.0
3387.0,2017-01-20 10:58:46,jd,32.0,0.0,20.0,-20.0
3387.0,2017-01-20 10:58:46,jd,35.0,0.0,30.0,-30.0
3387.0,2017-01-20 10:58:46,jd,40.0,0.0,50.0,-50.0
3387.0,2017-01-20 10:58:50,jd,27.0,0.0,130.0,-130.0
3386.0,2017-01-20 11:12:47,jd,26.0,-135.0,10.0,-145.0
3386.0,2017-01-20 11:12:47,jd,25.0,0.0,10.0,-10.0
3386.0,2017-01-20 11:12:47,jd,20.0,0.0,50.0,-50.0
3386.0,2017-01-20 11:12:47,jd,19.0,0.0,10.0,-10.0
3386.0,2017-01-20 11:12:47,jd,18.0,0.0,10.0,-10.0
