C,stockdate,symbol,totalposition,profit,comm,equity
9199.0,2017-01-16 23:59:00,pp,19.0,,,
9055.0,2017-01-17 10:07:09,pp,14.0,-13680.0,50.0,-13730.0
9048.0,2017-01-17 11:16:44,pp,13.0,-490.0,10.0,-500.0
9040.0,2017-01-17 11:16:46,pp,11.0,-520.0,20.0,-540.0
9042.0,2017-01-17 11:16:46,pp,4.0,110.0,70.0,40.0
9042.0,2017-01-17 11:16:46,pp,2.0,0.0,20.0,-20.0
9041.0,2017-01-17 11:16:46,pp,0.0,-10.0,20.0,-30.0
9023.0,2017-01-17 14:59:00,pp,0.0,-0.0,0.0,-0.0
9088.0,2017-01-18 14:59:00,pp,0.0,0.0,0.0,0.0
8946.0,2017-01-19 14:59:00,pp,0.0,-0.0,0.0,-0.0
9072.0,2017-01-20 13:47:09,pp,5.0,0.0,50.0,-50.0
9119.0,2017-01-20 13:51:47,pp,10.0,1175.0,50.0,1125.0
9104.0,2017-01-20 13:52:12,pp,5.0,-750.0,50.0,-800.0
9104.0,2017-01-20 13:52:12,pp,6.0,0.0,10.0,-10.0
9106.0,2017-01-20 13:53:48,pp,14.0,60.0,80.0,-20.0
9106.0,2017-01-20 13:53:48,pp,13.0,0.0,10.0,-10.0
9105.0,2017-01-20 13:53:48,pp,10.0,-65.0,30.0,-95.0
9105.0,2017-01-20 13:53:48,pp,9.0,0.0,10.0,-10.0
9105.0,2017-01-20 13:53:48,pp,8.0,0.0,10.0,-10.0
9105.0,2017-01-20 13:53:48,pp,6.0,0.0,20.0,-20.0
9106.0,2017-01-20 13:53:48,pp,12.0,30.0,60.0,-30.0
9097.0,2017-01-20 13:54:16,pp,12.0,-540.0,0.0,-540.0
9097.0,2017-01-20 13:54:17,pp,6.0,0.0,60.0,-60.0
9097.0,2017-01-20 13:54:17,pp,7.0,0.0,10.0,-10.0
9097.0,2017-01-20 13:54:18,pp,5.0,0.0,20.0,-20.0
9092.0,2017-01-20 13:58:16,pp,6.0,-125.0,10.0,-135.0
9096.0,2017-01-20 13:58:18,pp,10.0,120.0,40.0,80.0
9096.0,2017-01-20 13:58:18,pp,14.0,0.0,40.0,-40.0
9122.0,2017-01-20 14:00:12,pp,19.0,1820.0,50.0,1770.0
9028.0,2017-01-20 14:59:00,pp,19.0,-8930.0,0.0,-8930.0
