C,stockdate,symbol,totalposition,profit,comm,equity
6849.0,2017-01-16 23:59:00,sr,14.0,,,
6848.0,2017-01-17 09:00:13,SR,19.0,-140.0,50.0,-190.0
6848.0,2017-01-17 09:01:10,SR,18.0,0.0,10.0,-10.0
6848.0,2017-01-17 09:01:10,SR,16.0,0.0,20.0,-20.0
6848.0,2017-01-17 09:01:10,SR,14.0,0.0,20.0,-20.0
6836.0,2017-01-17 09:21:43,SR,11.0,-1680.0,30.0,-1710.0
6836.0,2017-01-17 09:21:43,SR,9.0,0.0,20.0,-20.0
6836.0,2017-01-17 09:21:43,SR,8.0,0.0,10.0,-10.0
6841.0,2017-01-17 09:26:49,SR,-3.0,400.0,110.0,290.0
6841.0,2017-01-17 09:26:49,SR,5.0,-0.0,80.0,-80.0
6841.0,2017-01-17 09:26:49,SR,2.0,0.0,30.0,-30.0
6840.0,2017-01-17 09:28:44,SR,-4.0,-20.0,60.0,-80.0
6840.0,2017-01-17 09:28:44,SR,-7.0,-0.0,30.0,-30.0
6840.0,2017-01-17 09:28:44,SR,-8.0,-0.0,10.0,-10.0
6831.0,2017-01-17 09:32:43,SR,-14.0,720.0,60.0,660.0
6833.0,2017-01-17 09:45:43,SR,-19.0,-280.0,50.0,-330.0
6833.0,2017-01-17 09:45:43,SR,-17.0,-0.0,20.0,-20.0
6833.0,2017-01-17 09:45:43,SR,-16.0,-0.0,10.0,-10.0
6833.0,2017-01-17 09:45:43,SR,-15.0,-0.0,10.0,-10.0
6833.0,2017-01-17 09:49:44,SR,-31.0,-0.0,160.0,-160.0
6834.0,2017-01-17 10:07:09,SR,-36.0,-310.0,50.0,-360.0
6834.0,2017-01-17 10:12:44,SR,-40.0,-0.0,40.0,-40.0
6834.0,2017-01-17 10:12:44,SR,-41.0,-0.0,10.0,-10.0
6834.0,2017-01-17 10:12:44,SR,-42.0,-0.0,10.0,-10.0
6836.0,2017-01-17 10:13:18,SR,-41.0,-840.0,10.0,-850.0
6836.0,2017-01-17 10:13:21,SR,-40.0,-0.0,10.0,-10.0
6836.0,2017-01-17 10:13:25,SR,-39.0,-0.0,10.0,-10.0
6836.0,2017-01-17 10:13:29,SR,-37.0,-0.0,20.0,-20.0
6836.0,2017-01-17 10:13:32,SR,-36.0,-0.0,10.0,-10.0
6838.0,2017-01-17 10:32:14,SR,-37.0,-720.0,10.0,-730.0
6838.0,2017-01-17 10:32:14,SR,-38.0,-0.0,10.0,-10.0
6838.0,2017-01-17 10:32:14,SR,-39.0,-0.0,10.0,-10.0
6838.0,2017-01-17 10:32:14,SR,-40.0,-0.0,10.0,-10.0
6838.0,2017-01-17 10:32:14,SR,-42.0,-0.0,20.0,-20.0
6827.0,2017-01-17 14:59:00,SR,-42.0,4620.0,0.0,4620.0
6860.0,2017-01-18 09:39:06,SR,-40.0,-13860.0,20.0,-13880.0
6860.0,2017-01-18 09:39:06,SR,-36.0,-0.0,40.0,-40.0
6860.0,2017-01-18 09:39:06,SR,-41.0,-0.0,50.0,-50.0
6865.0,2017-01-18 09:50:10,SR,-31.0,-2050.0,100.0,-2150.0
6865.0,2017-01-18 09:50:10,SR,-32.0,-0.0,10.0,-10.0
6865.0,2017-01-18 09:50:10,SR,-34.0,-0.0,20.0,-20.0
6865.0,2017-01-18 09:50:10,SR,-33.0,-0.0,10.0,-10.0
6865.0,2017-01-18 09:50:10,SR,-35.0,-0.0,20.0,-20.0
6864.0,2017-01-18 09:55:41,SR,-29.0,350.0,60.0,290.0
6864.0,2017-01-18 09:55:41,SR,-27.0,-0.0,20.0,-20.0
6864.0,2017-01-18 09:55:41,SR,-25.0,-0.0,20.0,-20.0
6865.0,2017-01-18 10:04:19,SR,-23.0,-250.0,20.0,-270.0
6865.0,2017-01-18 10:04:20,SR,-22.0,-0.0,10.0,-10.0
6865.0,2017-01-18 10:04:23,SR,-21.0,-0.0,10.0,-10.0
6865.0,2017-01-18 10:04:25,SR,-19.0,-0.0,20.0,-20.0
6865.0,2017-01-18 10:06:25,SR,-17.0,-0.0,20.0,-20.0
6865.0,2017-01-18 10:06:25,SR,-14.0,-0.0,30.0,-30.0
6860.0,2017-01-18 10:44:09,SR,-12.0,700.0,20.0,680.0
6860.0,2017-01-18 10:44:09,SR,-8.0,-0.0,40.0,-40.0
6859.0,2017-01-18 10:44:11,SR,-14.0,80.0,60.0,20.0
6859.0,2017-01-18 10:44:11,SR,-13.0,-0.0,10.0,-10.0
6859.0,2017-01-18 10:44:11,SR,-11.0,-0.0,20.0,-20.0
6859.0,2017-01-18 10:44:11,SR,-10.0,-0.0,10.0,-10.0
6859.0,2017-01-18 10:44:11,SR,-9.0,-0.0,10.0,-10.0
6859.0,2017-01-18 10:44:11,SR,-12.0,-0.0,30.0,-30.0
6863.0,2017-01-18 10:51:39,SR,-13.0,-480.0,10.0,-490.0
6863.0,2017-01-18 10:51:39,SR,-12.0,-0.0,10.0,-10.0
6863.0,2017-01-18 10:51:39,SR,-11.0,-0.0,10.0,-10.0
6863.0,2017-01-18 10:51:39,SR,-10.0,-0.0,10.0,-10.0
