C,stockdate,symbol,totalposition,profit,comm,equity
4349.0,2017-02-07 14:59:00,,,,,
4343.0,2017-02-08 14:58:00,a,40.0,,,
4343.0,2017-02-08 14:59:00,a,40.0,0.0,0.0,0.0
4322.0,2017-02-09 14:59:00,a,40.0,-8400.0,0.0,-8400.0
4312.0,2017-02-10 09:32:00,a,40.0,-4000.0,0.0,-4000.0
4311.0,2017-02-10 09:32:45,a,39.0,-400.0,10.0,-410.0
4311.0,2017-02-10 09:32:45,a,38.0,0.0,10.0,-10.0
4311.0,2017-02-10 09:32:45,a,37.0,0.0,10.0,-10.0
4311.0,2017-02-10 09:32:45,a,32.0,0.0,50.0,-50.0
4311.0,2017-02-10 09:32:45,a,30.0,0.0,20.0,-20.0
4338.0,2017-02-10 14:59:00,a,30.0,8100.0,0.0,8100.0
