C,stockdate,symbol,totalposition,profit,comm,equity
6124.0,2017-02-07 14:59:00,,,,,
6238.0,2017-02-08 14:58:00,p,0.0,,,
6236.0,2017-02-08 14:59:00,p,0.0,-0.0,0.0,-0.0
6190.0,2017-02-09 14:59:00,p,-10.0,-0.0,200.0,-200.0
6218.0,2017-02-10 09:00:00,p,-16.0,-2800.0,120.0,-2920.0
6216.0,2017-02-10 09:00:41,p,-10.0,320.0,120.0,200.0
6212.0,2017-02-10 09:01:41,p,-12.0,400.0,40.0,360.0
6212.0,2017-02-10 09:01:41,p,-13.0,-0.0,20.0,-20.0
6212.0,2017-02-10 09:01:41,p,-14.0,-0.0,20.0,-20.0
6212.0,2017-02-10 09:01:41,p,-16.0,-0.0,40.0,-40.0
6236.0,2017-02-10 09:59:00,p,-15.0,-3840.0,20.0,-3860.0
6236.0,2017-02-10 09:59:15,p,-10.0,-0.0,100.0,-100.0
6238.0,2017-02-10 10:07:11,p,-9.0,-200.0,20.0,-220.0
6242.0,2017-02-10 10:07:13,p,-6.0,-360.0,60.0,-420.0
6242.0,2017-02-10 10:07:13,p,-3.0,-0.0,60.0,-60.0
6240.0,2017-02-10 10:07:42,p,0.0,60.0,60.0,0.0
6240.0,2017-02-10 10:07:42,p,3.0,0.0,60.0,-60.0
6266.0,2017-02-10 10:53:57,p,8.0,780.0,100.0,680.0
6266.0,2017-02-10 10:53:58,p,9.0,0.0,20.0,-20.0
6266.0,2017-02-10 10:54:00,p,10.0,0.0,20.0,-20.0
6266.0,2017-02-10 10:54:41,p,6.0,0.0,80.0,-80.0
6266.0,2017-02-10 10:54:41,p,4.0,0.0,40.0,-40.0
6266.0,2017-02-10 10:54:41,p,3.0,0.0,20.0,-20.0
6276.0,2017-02-10 11:17:13,p,7.0,300.0,80.0,220.0
6276.0,2017-02-10 11:17:13,p,10.0,0.0,60.0,-60.0
6272.0,2017-02-10 11:20:59,p,16.0,-400.0,120.0,-520.0
6270.0,2017-02-10 11:21:42,p,15.0,-320.0,20.0,-340.0
6270.0,2017-02-10 11:21:42,p,14.0,0.0,20.0,-20.0
6270.0,2017-02-10 11:21:42,p,13.0,0.0,20.0,-20.0
6270.0,2017-02-10 11:21:42,p,11.0,0.0,40.0,-40.0
6270.0,2017-02-10 11:21:42,p,10.0,0.0,20.0,-20.0
6270.0,2017-02-10 11:28:43,p,14.0,0.0,80.0,-80.0
6270.0,2017-02-10 11:28:45,p,16.0,0.0,40.0,-40.0
6262.0,2017-02-10 14:25:41,p,13.0,-1280.0,60.0,-1340.0
6262.0,2017-02-10 14:25:41,p,10.0,0.0,60.0,-60.0
6264.0,2017-02-10 14:27:11,p,16.0,200.0,120.0,80.0
6262.0,2017-02-10 14:27:41,p,10.0,-320.0,120.0,-440.0
6284.0,2017-02-10 14:59:00,p,10.0,2200.0,0.0,2200.0
