C,stockdate,symbol,totalposition,profit,comm,equity
18525.0,2017-01-03 14:51:00,ru,1.0,,,
18525.0,2017-01-03 14:52:09,ru,0.0,0.0,50.0,-50.0
18360.0,2017-01-03 14:59:00,ru,0.0,-0.0,0.0,-0.0
18035.0,2017-01-04 09:26:46,ru,-1.0,-0.0,50.0,-50.0
18215.0,2017-01-04 11:26:46,ru,0.0,-1800.0,50.0,-1850.0
18210.0,2017-01-04 11:27:05,ru,-1.0,-0.0,50.0,-50.0
18430.0,2017-01-04 13:31:21,ru,0.0,-2200.0,50.0,-2250.0
18590.0,2017-01-04 14:53:51,ru,1.0,0.0,50.0,-50.0
18615.0,2017-01-04 14:54:45,ru,0.0,250.0,50.0,200.0
18565.0,2017-01-04 14:58:17,ru,1.0,-0.0,50.0,-50.0
18530.0,2017-01-04 14:59:00,ru,1.0,-350.0,0.0,-350.0
18535.0,2017-01-04 14:59:45,ru,3.0,50.0,100.0,-50.0
18510.0,2017-01-05 09:00:15,ru,1.0,-750.0,100.0,-850.0
18525.0,2017-01-05 09:01:14,ru,2.0,150.0,50.0,100.0
18525.0,2017-01-05 09:01:14,ru,3.0,0.0,50.0,-50.0
18235.0,2017-01-05 09:41:44,ru,2.0,-8700.0,50.0,-8750.0
18235.0,2017-01-05 09:41:44,ru,1.0,0.0,50.0,-50.0
18195.0,2017-01-05 10:31:15,ru,0.0,-400.0,50.0,-450.0
18215.0,2017-01-05 14:20:44,ru,-1.0,0.0,50.0,-50.0
18075.0,2017-01-05 14:59:00,ru,-1.0,1400.0,0.0,1400.0
18080.0,2017-01-05 14:59:44,ru,-4.0,-50.0,150.0,-200.0
18025.0,2017-01-06 09:00:16,ru,-3.0,2200.0,50.0,2150.0
18025.0,2017-01-06 09:00:16,ru,-1.0,-0.0,100.0,-100.0
18045.0,2017-01-06 09:01:14,ru,-4.0,-200.0,150.0,-350.0
17855.0,2017-01-06 14:59:00,ru,-4.0,7600.0,0.0,7600.0
18375.0,2017-01-09 09:10:48,ru,-3.0,-20800.0,50.0,-20850.0
18420.0,2017-01-09 09:20:50,ru,-2.0,-1350.0,50.0,-1400.0
18420.0,2017-01-09 09:20:50,ru,-1.0,-0.0,50.0,-50.0
18420.0,2017-01-09 09:20:50,ru,0.0,-0.0,50.0,-50.0
18415.0,2017-01-09 09:20:50,ru,-1.0,-0.0,50.0,-50.0
18425.0,2017-01-09 09:26:49,ru,0.0,-100.0,50.0,-150.0
18425.0,2017-01-09 09:26:49,ru,1.0,0.0,50.0,-50.0
18495.0,2017-01-09 09:41:45,ru,3.0,700.0,100.0,600.0
18505.0,2017-01-09 09:43:45,ru,4.0,300.0,50.0,250.0
18565.0,2017-01-09 09:57:47,ru,5.0,2400.0,50.0,2350.0
18565.0,2017-01-09 09:57:47,ru,6.0,0.0,50.0,-50.0
18970.0,2017-01-09 14:59:00,ru,6.0,24300.0,0.0,24300.0
19270.0,2017-01-10 14:59:00,ru,6.0,18000.0,0.0,18000.0
19555.0,2017-01-11 14:59:00,ru,6.0,17100.0,0.0,17100.0
20060.0,2017-01-12 11:21:45,ru,4.0,30300.0,100.0,30200.0
20025.0,2017-01-12 11:22:14,ru,5.0,-1400.0,50.0,-1450.0
20025.0,2017-01-12 11:22:14,ru,6.0,0.0,50.0,-50.0
20075.0,2017-01-12 11:24:10,ru,4.0,3000.0,100.0,2900.0
20130.0,2017-01-12 11:26:06,ru,3.0,2200.0,50.0,2150.0
20295.0,2017-01-12 14:59:00,ru,3.0,4950.0,0.0,4950.0
20330.0,2017-01-13 14:59:00,ru,3.0,1050.0,0.0,1050.0
21515.0,2017-01-16 14:59:00,ru,3.0,35550.0,0.0,35550.0
21295.0,2017-01-17 10:31:08,ru,1.0,-6600.0,100.0,-6700.0
20865.0,2017-01-17 13:31:08,ru,0.0,-4300.0,50.0,-4350.0
21250.0,2017-01-17 14:59:00,ru,0.0,0.0,0.0,0.0
21295.0,2017-01-18 14:59:00,ru,0.0,0.0,0.0,0.0
21350.0,2017-01-19 11:25:49,ru,1.0,0.0,50.0,-50.0
21345.0,2017-01-19 13:31:10,ru,4.0,-50.0,150.0,-200.0
21165.0,2017-01-19 14:09:14,ru,1.0,-7200.0,150.0,-7350.0
21180.0,2017-01-19 14:12:45,ru,0.0,150.0,50.0,100.0
21180.0,2017-01-19 14:12:45,ru,-1.0,0.0,50.0,-50.0
21185.0,2017-01-19 14:13:05,ru,0.0,-50.0,50.0,-100.0
21185.0,2017-01-19 14:13:05,ru,1.0,0.0,50.0,-50.0
21190.0,2017-01-19 14:25:45,ru,0.0,50.0,50.0,0.0
21190.0,2017-01-19 14:25:45,ru,-1.0,0.0,50.0,-50.0
21100.0,2017-01-19 14:28:45,ru,-4.0,900.0,150.0,750.0
21115.0,2017-01-19 14:29:12,ru,-3.0,-600.0,50.0,-650.0
21115.0,2017-01-19 14:29:14,ru,-2.0,-0.0,50.0,-50.0
21115.0,2017-01-19 14:29:14,ru,-1.0,-0.0,50.0,-50.0
21155.0,2017-01-19 14:57:45,ru,-2.0,-400.0,50.0,-450.0
21155.0,2017-01-19 14:57:45,ru,-3.0,-0.0,50.0,-50.0
21155.0,2017-01-19 14:57:45,ru,-4.0,-0.0,50.0,-50.0
21145.0,2017-01-19 14:58:04,ru,-1.0,400.0,150.0,250.0
21155.0,2017-01-19 14:59:00,ru,-1.0,-100.0,0.0,-100.0
21150.0,2017-01-19 14:59:45,ru,-2.0,50.0,50.0,0.0
21145.0,2017-01-19 14:59:45,ru,-3.0,100.0,50.0,50.0
21145.0,2017-01-19 14:59:45,ru,-4.0,-0.0,50.0,-50.0
20660.0,2017-01-20 09:00:12,ru,-3.0,19400.0,50.0,19350.0
20660.0,2017-01-20 09:00:12,ru,-2.0,-0.0,50.0,-50.0
20660.0,2017-01-20 09:00:12,ru,-1.0,-0.0,50.0,-50.0
20625.0,2017-01-20 09:01:09,ru,-3.0,350.0,100.0,250.0
20625.0,2017-01-20 09:01:09,ru,-4.0,-0.0,50.0,-50.0
19735.0,2017-01-20 14:59:00,ru,-4.0,35600.0,0.0,35600.0
20130.0,2017-01-23 09:21:50,ru,-3.0,-15800.0,50.0,-15850.0
20160.0,2017-01-23 09:25:45,ru,-1.0,-900.0,100.0,-1000.0
20185.0,2017-01-23 09:28:44,ru,0.0,-250.0,50.0,-300.0
19845.0,2017-01-23 14:59:00,ru,0.0,-0.0,0.0,-0.0
20240.0,2017-01-24 14:59:00,ru,0.0,0.0,0.0,0.0
20220.0,2017-01-25 14:59:00,ru,0.0,-0.0,0.0,-0.0
21185.0,2017-01-26 09:10:44,ru,1.0,0.0,50.0,-50.0
21205.0,2017-01-26 09:12:47,ru,2.0,200.0,50.0,150.0
21205.0,2017-01-26 09:12:47,ru,3.0,0.0,50.0,-50.0
21170.0,2017-01-26 09:28:44,ru,4.0,-1050.0,50.0,-1100.0
21475.0,2017-01-26 14:59:00,ru,4.0,12200.0,0.0,12200.0
21045.0,2017-02-03 09:02:14,ru,6.0,-17200.0,100.0,-17300.0
20830.0,2017-02-03 09:10:45,ru,4.0,-12900.0,100.0,-13000.0
20735.0,2017-02-03 09:12:46,ru,3.0,-3800.0,50.0,-3850.0
20760.0,2017-02-03 09:28:45,ru,2.0,750.0,50.0,700.0
20760.0,2017-02-03 09:28:45,ru,1.0,0.0,50.0,-50.0
20825.0,2017-02-03 09:32:45,ru,0.0,650.0,50.0,600.0
20175.0,2017-02-03 14:59:00,ru,0.0,-0.0,0.0,-0.0
19960.0,2017-02-06 14:20:07,ru,-1.0,-0.0,50.0,-50.0
20080.0,2017-02-06 14:59:00,ru,-1.0,-1200.0,0.0,-1200.0
20380.0,2017-02-07 13:51:09,ru,0.0,-3000.0,50.0,-3050.0
20680.0,2017-02-07 14:59:00,ru,0.0,0.0,0.0,0.0
20725.0,2017-02-08 14:59:00,ru,0.0,0.0,0.0,0.0
20585.0,2017-02-09 14:59:00,ru,0.0,-0.0,0.0,-0.0
20970.0,2017-02-10 14:59:00,ru,0.0,0.0,0.0,0.0
