C,stockdate,symbol,totalposition,profit,comm,equity
270.4,2017-01-04 14:59:00,,,,,
269.45,2017-01-05 14:58:00,au,4.0,,,
269.5,2017-01-05 14:59:00,au,4.0,200.0,0.0,200.0
269.65,2017-01-06 10:45:00,au,4.0,600.0,0.0,600.0
269.65,2017-01-06 10:46:26,au,5.0,0.0,50.0,-50.0
269.5,2017-01-06 13:38:46,au,4.0,-750.0,50.0,-800.0
269.55,2017-01-06 13:39:16,au,5.0,200.0,50.0,150.0
269.15,2017-01-06 13:47:13,au,4.0,-2000.0,50.0,-2050.0
269.3,2017-01-06 14:12:46,au,3.0,600.0,50.0,550.0
268.85,2017-01-06 14:49:46,au,2.0,-1350.0,50.0,-1400.0
268.85,2017-01-06 14:59:00,au,2.0,0.0,0.0,0.0
269.75,2017-01-09 09:51:38,au,3.0,1800.0,50.0,1750.0
269.65,2017-01-09 10:07:00,au,4.0,-300.0,50.0,-350.0
269.85,2017-01-09 10:31:21,au,5.0,800.0,50.0,750.0
269.75,2017-01-09 14:59:00,au,5.0,-500.0,0.0,-500.0
271.1,2017-01-10 09:25:55,au,6.0,6750.0,50.0,6700.0
271.5,2017-01-10 14:59:00,au,6.0,2400.0,0.0,2400.0
271.85,2017-01-11 14:59:00,au,6.0,2100.0,0.0,2100.0
272.25,2017-01-12 14:59:00,au,6.0,2400.0,0.0,2400.0
270.65,2017-01-13 09:32:44,au,5.0,-9600.0,50.0,-9650.0
270.75,2017-01-13 09:38:44,au,4.0,500.0,50.0,450.0
270.65,2017-01-13 10:54:44,au,3.0,-400.0,50.0,-450.0
270.65,2017-01-13 10:57:29,au,4.0,0.0,50.0,-50.0
270.65,2017-01-13 11:02:06,au,3.0,0.0,50.0,-50.0
270.75,2017-01-13 11:13:09,au,2.0,300.0,50.0,250.0
270.65,2017-01-13 13:34:05,au,1.0,-200.0,50.0,-250.0
270.55,2017-01-13 13:36:09,au,0.0,-100.0,50.0,-150.0
270.55,2017-01-13 13:36:09,au,-1.0,0.0,50.0,-50.0
271.25,2017-01-13 14:59:00,au,-1.0,-700.0,0.0,-700.0
271.25,2017-01-13 14:59:43,au,0.0,-0.0,50.0,-50.0
271.25,2017-01-13 14:59:43,au,1.0,0.0,50.0,-50.0
271.4,2017-01-16 09:00:15,au,0.0,150.0,50.0,100.0
271.4,2017-01-16 09:00:15,au,-1.0,0.0,50.0,-50.0
271.4,2017-01-16 09:01:10,au,0.0,-0.0,50.0,-50.0
271.4,2017-01-16 09:01:10,au,1.0,0.0,50.0,-50.0
271.8,2017-01-16 09:33:35,au,3.0,400.0,100.0,300.0
271.85,2017-01-16 10:06:47,au,4.0,150.0,50.0,100.0
271.8,2017-01-16 10:11:14,au,5.0,-200.0,50.0,-250.0
271.95,2017-01-16 10:32:55,au,6.0,750.0,50.0,700.0
271.9,2017-01-16 10:33:04,au,5.0,-300.0,50.0,-350.0
271.9,2017-01-16 10:43:03,au,6.0,0.0,50.0,-50.0
272.15,2017-01-16 10:49:53,au,7.0,1500.0,50.0,1450.0
272.2,2017-01-16 10:50:07,au,6.0,350.0,50.0,300.0
272.45,2017-01-16 11:06:27,au,7.0,1500.0,50.0,1450.0
272.95,2017-01-16 14:59:00,au,7.0,3500.0,0.0,3500.0
274.6,2017-01-17 14:59:00,au,7.0,11550.0,0.0,11550.0
273.2,2017-01-18 14:10:46,au,6.0,-9800.0,50.0,-9850.0
273.35,2017-01-18 14:12:46,au,5.0,900.0,50.0,850.0
273.5,2017-01-18 14:59:00,au,5.0,750.0,0.0,750.0
271.3,2017-01-19 09:24:46,au,4.0,-11000.0,50.0,-11050.0
271.05,2017-01-19 09:43:46,au,3.0,-1000.0,50.0,-1050.0
270.8,2017-01-19 09:49:46,au,1.0,-750.0,100.0,-850.0
270.6,2017-01-19 10:06:04,au,0.0,-200.0,50.0,-250.0
270.65,2017-01-19 10:07:10,au,-1.0,0.0,50.0,-50.0
270.7,2017-01-19 10:11:03,au,-3.0,-50.0,100.0,-150.0
270.85,2017-01-19 10:31:09,au,-4.0,-450.0,50.0,-500.0
270.7,2017-01-19 10:45:45,au,-5.0,600.0,50.0,550.0
270.65,2017-01-19 10:46:13,au,-4.0,250.0,50.0,200.0
270.65,2017-01-19 10:56:09,au,-5.0,-0.0,50.0,-50.0
270.8,2017-01-19 11:24:04,au,-6.0,-750.0,50.0,-800.0
270.55,2017-01-19 14:48:46,au,-8.0,1500.0,100.0,1400.0
270.55,2017-01-19 14:48:46,au,-12.0,-0.0,200.0,-200.0
270.55,2017-01-19 14:49:15,au,-11.0,-0.0,50.0,-50.0
270.55,2017-01-19 14:49:15,au,-10.0,-0.0,50.0,-50.0
270.55,2017-01-19 14:49:16,au,-6.0,-0.0,200.0,-200.0
270.7,2017-01-19 14:59:00,au,-6.0,-900.0,0.0,-900.0
271.4,2017-01-20 14:59:00,au,-6.0,-4200.0,0.0,-4200.0
271.5,2017-01-21 02:29:00,au,-6.0,-600.0,0.0,-600.0
273.15,2017-01-23 09:12:46,au,-5.0,-9900.0,50.0,-9950.0
273.4,2017-01-23 09:21:03,au,-4.0,-1250.0,50.0,-1300.0
273.45,2017-01-23 09:25:17,au,-3.0,-200.0,50.0,-250.0
273.4,2017-01-23 09:57:59,au,-1.0,150.0,100.0,50.0
