C,stockdate,symbol,totalposition,profit,comm,equity
1787.0,2017-01-04 09:00:00,cs,-104.0,,,
1789.0,2017-01-04 09:00:10,cs,-114.0,-2080.0,100.0,-2180.0
1802.0,2017-01-04 10:09:38,cs,-106.0,-14820.0,80.0,-14900.0
1802.0,2017-01-04 10:09:51,cs,-102.0,-0.0,40.0,-40.0
1805.0,2017-01-04 10:10:49,cs,-73.0,-3060.0,290.0,-3350.0
1804.0,2017-01-04 10:10:49,cs,-62.0,730.0,110.0,620.0
1804.0,2017-01-04 10:11:15,cs,-73.0,-0.0,110.0,-110.0
1809.0,2017-01-04 10:31:27,cs,-66.0,-3650.0,70.0,-3720.0
1809.0,2017-01-04 10:31:27,cs,-64.0,-0.0,20.0,-20.0
1809.0,2017-01-04 10:31:28,cs,-63.0,-0.0,10.0,-10.0
1809.0,2017-01-04 10:31:28,cs,-62.0,-0.0,10.0,-10.0
1808.0,2017-01-04 10:41:50,cs,-44.0,620.0,180.0,440.0
1808.0,2017-01-04 10:41:50,cs,-43.0,-0.0,10.0,-10.0
1808.0,2017-01-04 10:41:50,cs,-42.0,-0.0,10.0,-10.0
1805.0,2017-01-04 10:42:06,cs,-62.0,1260.0,200.0,1060.0
1806.0,2017-01-04 10:45:18,cs,-61.0,-620.0,10.0,-630.0
1806.0,2017-01-04 10:45:18,cs,-60.0,-0.0,10.0,-10.0
1806.0,2017-01-04 10:45:18,cs,-59.0,-0.0,10.0,-10.0
1806.0,2017-01-04 10:45:22,cs,-42.0,-0.0,170.0,-170.0
1814.0,2017-01-04 13:31:26,cs,-32.0,-3360.0,100.0,-3460.0
1814.0,2017-01-04 13:31:26,cs,-1.0,-0.0,310.0,-310.0
1814.0,2017-01-04 13:31:26,cs,0.0,-0.0,10.0,-10.0
1815.0,2017-01-04 13:34:53,cs,1.0,0.0,10.0,-10.0
1815.0,2017-01-04 13:34:53,cs,3.0,0.0,20.0,-20.0
1815.0,2017-01-04 13:34:53,cs,7.0,0.0,40.0,-40.0
1815.0,2017-01-04 13:34:53,cs,8.0,0.0,10.0,-10.0
1815.0,2017-01-04 13:34:53,cs,9.0,0.0,10.0,-10.0
1815.0,2017-01-04 13:34:55,cs,10.0,0.0,10.0,-10.0
1815.0,2017-01-04 13:34:55,cs,11.0,0.0,10.0,-10.0
1815.0,2017-01-04 13:34:55,cs,13.0,0.0,20.0,-20.0
1815.0,2017-01-04 13:34:55,cs,21.0,0.0,80.0,-80.0
1816.0,2017-01-04 13:35:08,cs,13.0,210.0,80.0,130.0
1816.0,2017-01-04 13:35:08,cs,11.0,0.0,20.0,-20.0
1816.0,2017-01-04 13:35:08,cs,9.0,0.0,20.0,-20.0
1816.0,2017-01-04 13:35:08,cs,0.0,0.0,90.0,-90.0
