C,stockdate,symbol,totalposition,profit,comm,equity
9650.0,2017-01-04 09:00:00,l,-8.0,,,
9645.0,2017-01-04 09:00:14,l,-7.0,200.0,25.0,175.0
9645.0,2017-01-04 09:00:15,l,-5.0,-0.0,50.0,-50.0
9645.0,2017-01-04 09:00:15,l,-4.0,-0.0,25.0,-25.0
9695.0,2017-01-04 14:59:00,l,-4.0,-1000.0,0.0,-1000.0
9700.0,2017-01-05 14:59:00,l,-4.0,-100.0,0.0,-100.0
9805.0,2017-01-06 09:25:05,l,0.0,-2100.0,100.0,-2200.0
9680.0,2017-01-06 13:51:47,l,-8.0,-0.0,200.0,-200.0
9695.0,2017-01-06 13:52:52,l,-7.0,-600.0,25.0,-625.0
9695.0,2017-01-06 13:52:52,l,0.0,-0.0,175.0,-175.0
9685.0,2017-01-06 13:54:48,l,-4.0,-0.0,100.0,-100.0
9685.0,2017-01-06 13:56:13,l,0.0,-0.0,100.0,-100.0
9655.0,2017-01-06 13:58:16,l,-4.0,-0.0,100.0,-100.0
9650.0,2017-01-06 14:00:47,l,-12.0,100.0,200.0,-100.0
9640.0,2017-01-06 14:10:47,l,-15.0,600.0,75.0,525.0
9640.0,2017-01-06 14:10:47,l,-16.0,-0.0,25.0,-25.0
9645.0,2017-01-06 14:11:52,l,-12.0,-400.0,100.0,-500.0
9640.0,2017-01-06 14:12:47,l,-16.0,300.0,100.0,200.0
9645.0,2017-01-06 14:13:47,l,-12.0,-400.0,100.0,-500.0
9625.0,2017-01-06 14:16:17,l,-16.0,1200.0,100.0,1100.0
9610.0,2017-01-06 14:20:17,l,-20.0,1200.0,100.0,1100.0
9565.0,2017-01-06 14:25:15,l,-27.0,4500.0,175.0,4325.0
9565.0,2017-01-06 14:25:15,l,-28.0,-0.0,25.0,-25.0
9575.0,2017-01-06 14:26:47,l,-32.0,-1400.0,100.0,-1500.0
9575.0,2017-01-06 14:32:47,l,-36.0,-0.0,100.0,-100.0
9585.0,2017-01-06 14:34:34,l,-32.0,-1800.0,100.0,-1900.0
9580.0,2017-01-06 14:34:47,l,-36.0,800.0,100.0,700.0
9575.0,2017-01-06 14:35:51,l,-32.0,900.0,100.0,800.0
9560.0,2017-01-06 14:51:18,l,-36.0,2400.0,100.0,2300.0
9525.0,2017-01-06 14:59:00,l,-36.0,6300.0,0.0,6300.0
9535.0,2017-01-06 14:59:50,l,-40.0,-1800.0,100.0,-1900.0
9690.0,2017-01-09 11:11:02,l,-36.0,-31000.0,100.0,-31100.0
9690.0,2017-01-09 11:11:02,l,-34.0,-0.0,50.0,-50.0
9690.0,2017-01-09 11:11:02,l,-32.0,-0.0,50.0,-50.0
9690.0,2017-01-09 11:11:04,l,-20.0,-0.0,300.0,-300.0
9680.0,2017-01-09 11:11:46,l,-28.0,1000.0,200.0,800.0
9705.0,2017-01-09 11:13:19,l,-26.0,-3500.0,50.0,-3550.0
9705.0,2017-01-09 11:13:20,l,-22.0,-0.0,100.0,-100.0
9705.0,2017-01-09 11:13:20,l,-20.0,-0.0,50.0,-50.0
9745.0,2017-01-09 11:17:00,l,-12.0,-4000.0,200.0,-4200.0
9740.0,2017-01-09 11:20:49,l,-8.0,300.0,100.0,200.0
9750.0,2017-01-09 11:28:10,l,-5.0,-400.0,75.0,-475.0
9750.0,2017-01-09 11:28:10,l,-4.0,-0.0,25.0,-25.0
9750.0,2017-01-09 13:31:38,l,0.0,-0.0,100.0,-100.0
9795.0,2017-01-09 14:59:00,l,0.0,0.0,0.0,0.0
9850.0,2017-01-10 14:51:52,l,4.0,0.0,100.0,-100.0
9845.0,2017-01-10 14:52:45,l,0.0,-100.0,100.0,-200.0
9860.0,2017-01-10 14:59:00,l,0.0,0.0,0.0,0.0
9860.0,2017-01-10 14:59:48,l,2.0,0.0,50.0,-50.0
9860.0,2017-01-10 14:59:48,l,4.0,0.0,50.0,-50.0
9815.0,2017-01-11 14:59:00,l,4.0,-900.0,0.0,-900.0
9805.0,2017-01-11 14:59:48,l,0.0,-200.0,100.0,-300.0
9805.0,2017-01-11 14:59:48,l,-1.0,0.0,25.0,-25.0
9805.0,2017-01-11 14:59:48,l,-2.0,-0.0,25.0,-25.0
9805.0,2017-01-11 14:59:48,l,-4.0,-0.0,50.0,-50.0
9865.0,2017-01-12 09:00:08,l,0.0,-1200.0,100.0,-1300.0
9865.0,2017-01-12 09:00:08,l,4.0,0.0,100.0,-100.0
9795.0,2017-01-12 13:38:46,l,0.0,-1400.0,100.0,-1500.0
9795.0,2017-01-12 13:38:46,l,-2.0,0.0,50.0,-50.0
9795.0,2017-01-12 13:38:46,l,-4.0,-0.0,50.0,-50.0
9800.0,2017-01-12 13:39:26,l,0.0,-100.0,100.0,-200.0
9800.0,2017-01-12 13:39:26,l,4.0,0.0,100.0,-100.0
9795.0,2017-01-12 13:47:07,l,3.0,-100.0,25.0,-125.0
9795.0,2017-01-12 13:47:07,l,2.0,0.0,25.0,-25.0
