C,stockdate,symbol,totalposition,profit,comm,equity
550.5,2017-01-05 14:59:00,,,,,
538.5,2017-01-06 14:59:00,,,,,
571.5,2017-01-09 14:59:00,,,,,
594.0,2017-01-10 14:59:00,,,,,
601.0,2017-01-11 14:59:00,,,,,
607.5,2017-01-12 14:59:00,,,,,
607.0,2017-01-13 14:59:00,,,,,
653.0,2017-01-16 14:59:00,,,,,
638.0,2017-01-17 14:59:00,,,,,
638.0,2017-01-18 14:59:00,,,,,
637.0,2017-01-19 14:59:00,,,,,
612.5,2017-01-20 14:59:00,,,,,
607.5,2017-01-23 14:59:00,,,,,
648.5,2017-01-24 14:59:00,,,,,
641.5,2017-01-25 14:59:00,,,,,
660.0,2017-01-26 14:59:00,,,,,
611.5,2017-02-03 14:59:00,,,,,
603.0,2017-02-06 14:59:00,,,,,
625.0,2017-02-07 14:59:00,,,,,
641.0,2017-02-08 14:59:00,,,,,
641.0,2017-02-09 14:59:00,,,,,
688.0,2017-02-10 14:59:00,,,,,
711.0,2017-02-13 14:58:00,I,4.0,,,
712.5,2017-02-13 14:59:00,I,4.0,600.0,0.0,600.0
712.0,2017-02-14 14:59:00,I,0.0,-200.0,100.0,-300.0
712.0,2017-02-14 15:05:00,I,0.0,0.0,0.0,0.0
697.5,2017-02-15 14:59:00,I,0.0,-0.0,0.0,-0.0
