C,stockdate,symbol,totalposition,profit,comm,equity
12595.0,2017-01-05 14:59:00,,,,,
12510.0,2017-01-06 14:59:00,,,,,
12580.0,2017-01-09 14:59:00,,,,,
12870.0,2017-01-10 14:59:00,,,,,
13040.0,2017-01-11 14:59:00,,,,,
13280.0,2017-01-12 14:59:00,,,,,
13395.0,2017-01-13 14:59:00,,,,,
13390.0,2017-01-16 14:59:00,,,,,
13320.0,2017-01-17 14:59:00,,,,,
13335.0,2017-01-18 14:59:00,,,,,
13355.0,2017-01-19 14:59:00,,,,,
13335.0,2017-01-20 14:59:00,,,,,
13735.0,2017-01-21 00:59:00,,,,,
13690.0,2017-01-23 14:59:00,,,,,
13725.0,2017-01-24 14:59:00,,,,,
14050.0,2017-01-25 14:59:00,,,,,
13835.0,2017-01-26 14:59:00,,,,,
13760.0,2017-02-03 14:59:00,,,,,
13870.0,2017-02-04 00:59:00,,,,,
13630.0,2017-02-06 14:59:00,,,,,
13600.0,2017-02-07 14:59:00,,,,,
13695.0,2017-02-08 14:59:00,,,,,
13735.0,2017-02-09 14:59:00,,,,,
13760.0,2017-02-10 14:59:00,,,,,
13940.0,2017-02-11 00:59:59,,,,,
13950.0,2017-02-13 14:58:00,al,22.0,,,
13955.0,2017-02-13 14:59:00,al,22.0,550.0,0.0,550.0
14415.0,2017-02-14 14:59:00,al,22.0,50600.0,0.0,50600.0
14345.0,2017-02-15 14:59:00,al,22.0,-7700.0,0.0,-7700.0
