C,stockdate,symbol,totalposition,profit,comm,equity
1211.0,2017-01-05 14:59:00,,,,,
1206.0,2017-01-06 14:59:00,,,,,
1228.0,2017-01-09 14:59:00,,,,,
1277.0,2017-01-10 14:59:00,,,,,
1267.0,2017-01-11 14:59:00,,,,,
1259.0,2017-01-12 14:59:00,,,,,
1275.0,2017-01-13 14:59:00,,,,,
1314.0,2017-01-16 14:59:00,,,,,
1295.0,2017-01-17 14:59:00,,,,,
1297.0,2017-01-18 14:59:00,,,,,
1301.0,2017-01-19 14:59:00,,,,,
1301.0,2017-01-20 14:59:00,,,,,
1283.0,2017-01-23 14:59:00,,,,,
1308.0,2017-01-24 14:59:00,,,,,
1319.0,2017-01-25 14:59:00,,,,,
1323.0,2017-01-26 14:59:00,,,,,
1288.0,2017-02-03 14:59:00,,,,,
1288.0,2017-02-06 14:59:00,,,,,
1292.0,2017-02-07 14:59:00,,,,,
1316.0,2017-02-08 14:59:00,,,,,
1304.0,2017-02-09 14:59:00,,,,,
1376.0,2017-02-10 14:59:00,,,,,
1386.0,2017-02-13 14:58:00,fg,55.0,,,
1385.0,2017-02-13 14:59:00,fg,55.0,-1100.0,0.0,-1100.0
1386.0,2017-02-14 14:59:00,fg,34.0,1100.0,210.0,890.0
1363.0,2017-02-15 10:39:00,fg,34.0,-15640.0,0.0,-15640.0
1362.0,2017-02-15 10:40:09,FG,33.0,-680.0,10.0,-690.0
1362.0,2017-02-15 10:40:09,FG,31.0,0.0,20.0,-20.0
1362.0,2017-02-15 10:40:09,FG,30.0,0.0,10.0,-10.0
1363.0,2017-02-15 10:41:42,FG,29.0,600.0,10.0,590.0
1363.0,2017-02-15 10:41:42,FG,28.0,0.0,10.0,-10.0
1363.0,2017-02-15 10:41:42,FG,27.0,0.0,10.0,-10.0
1363.0,2017-02-15 10:41:42,FG,26.0,0.0,10.0,-10.0
1363.0,2017-02-15 10:41:42,FG,25.0,0.0,10.0,-10.0
1363.0,2017-02-15 10:41:42,FG,21.0,0.0,40.0,-40.0
1362.0,2017-02-15 10:45:02,FG,25.0,-420.0,40.0,-460.0
1360.0,2017-02-15 10:45:42,FG,24.0,-1000.0,10.0,-1010.0
1360.0,2017-02-15 10:45:42,FG,22.0,0.0,20.0,-20.0
1360.0,2017-02-15 10:45:42,FG,21.0,0.0,10.0,-10.0
1362.0,2017-02-15 10:46:09,FG,17.0,840.0,40.0,800.0
1364.0,2017-02-15 10:53:42,FG,13.0,680.0,40.0,640.0
1364.0,2017-02-15 10:53:42,FG,8.0,0.0,50.0,-50.0
1365.0,2017-02-15 10:56:27,FG,13.0,160.0,50.0,110.0
1365.0,2017-02-15 10:57:42,FG,12.0,0.0,10.0,-10.0
1365.0,2017-02-15 10:57:42,FG,11.0,0.0,10.0,-10.0
1365.0,2017-02-15 10:57:42,FG,9.0,0.0,20.0,-20.0
1365.0,2017-02-15 10:57:42,FG,8.0,0.0,10.0,-10.0
1365.0,2017-02-15 14:59:00,FG,8.0,0.0,0.0,0.0
1364.0,2017-02-15 14:59:43,FG,7.0,-160.0,10.0,-170.0
1364.0,2017-02-15 14:59:43,FG,6.0,0.0,10.0,-10.0
1364.0,2017-02-15 14:59:43,FG,3.0,0.0,30.0,-30.0
1364.0,2017-02-15 14:59:43,FG,2.0,0.0,10.0,-10.0
1364.0,2017-02-15 14:59:43,FG,1.0,0.0,10.0,-10.0
1364.0,2017-02-15 14:59:43,FG,0.0,0.0,10.0,-10.0
