C,stockdate,symbol,totalposition,profit,comm,equity
1138.5,2017-01-04 15:04:00,jm,0.0,,,
1146.5,2017-01-05 14:59:00,jm,0.0,0.0,0.0,0.0
1161.5,2017-01-06 14:59:00,jm,0.0,0.0,0.0,0.0
1199.0,2017-01-09 14:59:00,jm,0.0,0.0,0.0,0.0
1268.0,2017-01-10 14:59:00,jm,0.0,0.0,0.0,0.0
1247.5,2017-01-11 14:59:00,jm,0.0,-0.0,0.0,-0.0
1245.0,2017-01-12 14:59:00,jm,0.0,-0.0,0.0,-0.0
1263.5,2017-01-13 14:59:00,jm,0.0,0.0,0.0,0.0
1325.5,2017-01-16 14:59:00,jm,0.0,0.0,0.0,0.0
1221.5,2017-01-17 14:59:00,jm,0.0,-0.0,0.0,-0.0
1224.0,2017-01-18 14:59:00,jm,0.0,0.0,0.0,0.0
1234.0,2017-01-19 14:59:00,jm,0.0,0.0,0.0,0.0
1179.0,2017-01-20 14:59:00,jm,0.0,-0.0,0.0,-0.0
1180.5,2017-01-23 14:59:00,jm,0.0,0.0,0.0,0.0
1214.0,2017-01-24 14:59:00,jm,0.0,0.0,0.0,0.0
1200.0,2017-01-25 14:59:00,jm,0.0,-0.0,0.0,-0.0
1260.0,2017-01-26 14:59:00,jm,0.0,0.0,0.0,0.0
1172.0,2017-02-03 14:59:00,jm,0.0,-0.0,0.0,-0.0
1154.5,2017-02-06 14:59:00,jm,0.0,-0.0,0.0,-0.0
1164.0,2017-02-07 14:59:00,jm,0.0,0.0,0.0,0.0
1175.0,2017-02-08 14:59:00,jm,0.0,0.0,0.0,0.0
1132.0,2017-02-09 14:59:00,jm,0.0,-0.0,0.0,-0.0
1158.0,2017-02-10 14:59:00,jm,0.0,0.0,0.0,0.0
1204.5,2017-02-13 14:59:00,jm,0.0,0.0,0.0,0.0
1224.5,2017-02-14 14:59:00,jm,0.0,0.0,0.0,0.0
1214.0,2017-02-15 14:59:00,jm,0.0,-0.0,0.0,-0.0
