C,stockdate,symbol,totalposition,profit,comm,equity
2786.0,2017-01-05 14:59:00,,,,,
2791.0,2017-01-06 14:59:00,,,,,
2775.0,2017-01-09 14:59:00,,,,,
2778.0,2017-01-10 14:59:00,,,,,
2824.0,2017-01-11 14:59:00,,,,,
2808.0,2017-01-12 14:59:00,,,,,
2871.0,2017-01-13 14:59:00,,,,,
2909.0,2017-01-16 14:59:00,,,,,
2922.0,2017-01-17 14:59:00,,,,,
2936.0,2017-01-18 14:59:00,,,,,
2967.0,2017-01-19 14:59:00,,,,,
2929.0,2017-01-20 14:59:00,,,,,
2935.0,2017-01-23 14:59:00,,,,,
2939.0,2017-01-24 14:59:00,,,,,
2882.0,2017-01-25 14:59:00,,,,,
2913.0,2017-01-26 14:59:00,,,,,
2889.0,2017-02-03 14:59:00,,,,,
2921.0,2017-02-06 14:59:00,,,,,
2916.0,2017-02-07 14:59:00,,,,,
2965.0,2017-02-08 14:59:00,,,,,
2964.0,2017-02-09 14:59:00,,,,,
2997.0,2017-02-10 14:59:00,,,,,
2986.0,2017-02-13 14:58:00,m,37.0,,,
2985.0,2017-02-13 14:59:00,m,37.0,-370.0,0.0,-370.0
2956.0,2017-02-14 14:59:00,m,20.0,-10730.0,170.0,-10900.0
2942.0,2017-02-15 09:00:00,m,20.0,-2800.0,0.0,-2800.0
2942.0,2017-02-15 09:01:11,m,15.0,0.0,50.0,-50.0
2942.0,2017-02-15 09:01:11,m,14.0,0.0,10.0,-10.0
2942.0,2017-02-15 09:01:11,m,13.0,0.0,10.0,-10.0
2942.0,2017-02-15 09:01:11,m,3.0,0.0,100.0,-100.0
2950.0,2017-02-15 09:34:43,m,0.0,240.0,30.0,210.0
2937.0,2017-02-15 14:59:00,m,0.0,-0.0,0.0,-0.0
