C,stockdate,symbol,totalposition,profit,comm,equity
2661.0,2017-01-05 14:59:00,,,,,
2646.0,2017-01-06 14:59:00,,,,,
2716.0,2017-01-09 14:59:00,,,,,
2713.0,2017-01-10 14:59:00,,,,,
2690.0,2017-01-11 14:59:00,,,,,
2741.0,2017-01-12 14:59:00,,,,,
2759.0,2017-01-13 14:59:00,,,,,
2870.0,2017-01-16 14:59:00,,,,,
2831.0,2017-01-17 14:59:00,,,,,
2838.0,2017-01-18 14:59:00,,,,,
2793.0,2017-01-19 14:59:00,,,,,
2803.0,2017-01-20 14:59:00,,,,,
2848.0,2017-01-23 14:59:00,,,,,
2855.0,2017-01-24 14:59:00,,,,,
2935.0,2017-01-25 14:59:00,,,,,
2929.0,2017-01-26 14:59:00,,,,,
2915.0,2017-02-03 14:59:00,,,,,
2929.0,2017-02-06 14:59:00,,,,,
2943.0,2017-02-07 14:59:00,,,,,
2940.0,2017-02-08 14:59:00,,,,,
2920.0,2017-02-09 14:59:00,,,,,
2944.0,2017-02-10 14:59:00,,,,,
3039.0,2017-02-13 14:58:00,ma,63.0,,,
3045.0,2017-02-13 14:59:00,ma,63.0,3780.0,0.0,3780.0
3106.0,2017-02-14 14:59:00,ma,63.0,38430.0,0.0,38430.0
3069.0,2017-02-15 14:59:00,ma,63.0,-23310.0,0.0,-23310.0
