C,stockdate,symbol,totalposition,profit,comm,equity
8552.0,2017-01-05 14:59:00,,,,,
8438.0,2017-01-06 14:59:00,,,,,
8645.0,2017-01-09 14:59:00,,,,,
8590.0,2017-01-10 14:59:00,,,,,
8590.0,2017-01-11 14:59:00,,,,,
8742.0,2017-01-12 14:59:00,,,,,
8881.0,2017-01-13 14:59:00,,,,,
9199.0,2017-01-16 14:59:00,,,,,
9023.0,2017-01-17 14:59:00,,,,,
9088.0,2017-01-18 14:59:00,,,,,
8946.0,2017-01-19 14:59:00,,,,,
9028.0,2017-01-20 14:59:00,,,,,
9190.0,2017-01-23 14:59:00,,,,,
9128.0,2017-01-24 14:59:00,,,,,
9418.0,2017-01-25 14:59:00,,,,,
9320.0,2017-01-26 14:59:00,,,,,
9252.0,2017-02-03 14:59:00,,,,,
9349.0,2017-02-06 14:59:00,,,,,
9262.0,2017-02-07 14:59:00,,,,,
9209.0,2017-02-08 14:59:00,,,,,
9207.0,2017-02-09 14:59:00,,,,,
9230.0,2017-02-10 14:59:59,,,,,
9529.0,2017-02-13 14:58:00,pp,36.0,,,
9548.0,2017-02-13 14:59:00,pp,36.0,3420.0,0.0,3420.0
9575.0,2017-02-14 14:59:00,pp,36.0,4860.0,0.0,4860.0
9435.0,2017-02-15 10:10:00,pp,36.0,-25200.0,0.0,-25200.0
9432.0,2017-02-15 10:10:43,pp,31.0,-540.0,50.0,-590.0
9439.0,2017-02-15 10:11:08,pp,32.0,1085.0,10.0,1075.0
9439.0,2017-02-15 10:11:11,pp,36.0,0.0,40.0,-40.0
9424.0,2017-02-15 10:31:11,pp,35.0,-2700.0,10.0,-2710.0
9424.0,2017-02-15 10:31:11,pp,34.0,0.0,10.0,-10.0
9424.0,2017-02-15 10:31:11,pp,33.0,0.0,10.0,-10.0
9424.0,2017-02-15 10:31:11,pp,32.0,0.0,10.0,-10.0
9424.0,2017-02-15 10:31:11,pp,31.0,0.0,10.0,-10.0
9426.0,2017-02-15 10:32:08,pp,27.0,310.0,40.0,270.0
9426.0,2017-02-15 10:32:08,pp,24.0,0.0,30.0,-30.0
9409.0,2017-02-15 10:32:43,pp,22.0,-2040.0,20.0,-2060.0
9406.0,2017-02-15 10:34:45,pp,19.0,-330.0,30.0,-360.0
9402.0,2017-02-15 10:35:43,pp,21.0,-380.0,20.0,-400.0
9402.0,2017-02-15 10:35:43,pp,22.0,0.0,10.0,-10.0
9386.0,2017-02-15 10:40:10,pp,21.0,-1760.0,10.0,-1770.0
9386.0,2017-02-15 10:40:10,pp,20.0,0.0,10.0,-10.0
9386.0,2017-02-15 10:40:10,pp,19.0,0.0,10.0,-10.0
9381.0,2017-02-15 10:41:42,pp,12.0,-475.0,70.0,-545.0
9389.0,2017-02-15 10:42:43,pp,14.0,480.0,20.0,460.0
9354.0,2017-02-15 10:46:09,pp,13.0,-2450.0,10.0,-2460.0
9353.0,2017-02-15 10:46:10,pp,10.0,-65.0,30.0,-95.0
9359.0,2017-02-15 10:49:06,pp,2.0,300.0,80.0,220.0
9351.0,2017-02-15 10:57:45,pp,1.0,-80.0,10.0,-90.0
9351.0,2017-02-15 10:57:46,pp,0.0,0.0,10.0,-10.0
9280.0,2017-02-15 14:20:42,pp,-1.0,-0.0,10.0,-10.0
9280.0,2017-02-15 14:20:42,pp,-2.0,-0.0,10.0,-10.0
9284.0,2017-02-15 14:20:56,pp,0.0,-40.0,20.0,-60.0
9277.0,2017-02-15 14:24:43,pp,-5.0,-0.0,50.0,-50.0
9277.0,2017-02-15 14:25:11,pp,-7.0,-0.0,20.0,-20.0
9273.0,2017-02-15 14:25:45,pp,-10.0,140.0,30.0,110.0
9272.0,2017-02-15 14:26:11,pp,-7.0,50.0,30.0,20.0
9267.0,2017-02-15 14:31:43,pp,-10.0,175.0,30.0,145.0
9254.0,2017-02-15 14:37:44,pp,-12.0,650.0,20.0,630.0
9262.0,2017-02-15 14:39:12,pp,-14.0,-480.0,20.0,-500.0
9226.0,2017-02-15 14:57:42,pp,-15.0,2520.0,10.0,2510.0
9226.0,2017-02-15 14:57:42,pp,-17.0,-0.0,20.0,-20.0
9222.0,2017-02-15 14:58:08,pp,-15.0,340.0,20.0,320.0
9222.0,2017-02-15 14:58:08,pp,-14.0,-0.0,10.0,-10.0
9210.0,2017-02-15 14:59:00,pp,-14.0,840.0,0.0,840.0
9218.0,2017-02-15 14:59:43,pp,-17.0,-560.0,30.0,-590.0
