C,stockdate,symbol,totalposition,profit,comm,equity
2301.0,2017-01-05 14:59:00,,,,,
2296.0,2017-01-06 14:59:00,,,,,
2290.0,2017-01-09 14:59:00,,,,,
2291.0,2017-01-10 14:59:00,,,,,
2331.0,2017-01-11 14:59:00,,,,,
2324.0,2017-01-12 14:59:00,,,,,
2386.0,2017-01-13 14:59:00,,,,,
2426.0,2017-01-16 14:59:00,,,,,
2435.0,2017-01-17 14:59:00,,,,,
2446.0,2017-01-18 14:59:00,,,,,
2464.0,2017-01-19 14:59:00,,,,,
2432.0,2017-01-20 14:59:00,,,,,
2432.0,2017-01-23 14:59:00,,,,,
2443.0,2017-01-24 14:59:00,,,,,
2391.0,2017-01-25 14:59:00,,,,,
2414.0,2017-01-26 14:59:00,,,,,
2405.0,2017-02-03 14:59:00,,,,,
2452.0,2017-02-06 14:59:00,,,,,
2450.0,2017-02-07 14:59:00,,,,,
2493.0,2017-02-08 14:59:00,,,,,
2480.0,2017-02-09 14:59:00,,,,,
2518.0,2017-02-10 14:59:00,,,,,
2504.0,2017-02-13 14:58:00,rm,25.0,,,
2506.0,2017-02-13 14:59:00,rm,25.0,500.0,0.0,500.0
2480.0,2017-02-14 14:59:00,rm,13.0,-6500.0,120.0,-6620.0
2473.0,2017-02-15 09:00:00,rm,13.0,-910.0,0.0,-910.0
2471.0,2017-02-15 09:01:11,RM,5.0,-260.0,80.0,-340.0
2471.0,2017-02-15 09:01:11,RM,1.0,0.0,40.0,-40.0
2471.0,2017-02-15 09:01:11,RM,0.0,0.0,10.0,-10.0
2465.0,2017-02-15 14:59:00,RM,0.0,-0.0,0.0,-0.0
