C,stockdate,symbol,totalposition,profit,comm,equity
509.6,2017-01-05 14:59:00,,,,,
508.0,2017-01-06 14:59:00,,,,,
517.4,2017-01-09 14:59:00,,,,,
527.4,2017-01-10 14:59:00,,,,,
527.0,2017-01-11 14:59:00,,,,,
524.4,2017-01-12 14:59:00,,,,,
524.6,2017-01-13 14:59:00,,,,,
540.0,2017-01-16 14:59:00,,,,,
509.8,2017-01-17 14:59:00,,,,,
507.4,2017-01-18 14:59:00,,,,,
511.4,2017-01-19 14:59:00,,,,,
506.8,2017-01-20 14:59:00,,,,,
517.4,2017-01-23 14:59:00,,,,,
531.8,2017-01-24 14:59:00,,,,,
536.0,2017-01-25 14:59:00,,,,,
538.0,2017-01-26 14:59:00,,,,,
524.8,2017-02-03 14:59:00,,,,,
534.8,2017-02-06 14:59:00,,,,,
537.4,2017-02-07 14:59:00,,,,,
536.8,2017-02-08 14:59:00,,,,,
529.6,2017-02-09 14:59:00,,,,,
536.0,2017-02-10 14:59:00,,,,,
535.8,2017-02-13 14:58:00,zc,21.0,,,
535.6,2017-02-13 14:59:00,zc,21.0,-420.0,0.0,-420.0
531.6,2017-02-14 14:59:00,zc,-2.0,-8400.0,460.0,-8860.0
526.4,2017-02-15 09:00:00,zc,-5.0,1040.0,60.0,980.0
526.2,2017-02-15 09:00:43,ZC,-3.0,100.0,40.0,60.0
526.2,2017-02-15 09:00:43,ZC,-2.0,-0.0,20.0,-20.0
525.8,2017-02-15 09:01:11,ZC,-5.0,80.0,60.0,20.0
524.8,2017-02-15 09:12:42,ZC,-8.0,500.0,60.0,440.0
524.0,2017-02-15 09:20:42,ZC,-11.0,640.0,60.0,580.0
524.2,2017-02-15 09:22:43,ZC,-12.0,-220.0,20.0,-240.0
524.2,2017-02-15 09:22:43,ZC,-13.0,-0.0,20.0,-20.0
524.2,2017-02-15 09:22:43,ZC,-14.0,-0.0,20.0,-20.0
524.2,2017-02-15 09:24:47,ZC,-17.0,-0.0,60.0,-60.0
524.6,2017-02-15 09:26:42,ZC,-21.0,-680.0,80.0,-760.0
534.6,2017-02-15 13:42:04,ZC,-19.0,-21000.0,40.0,-21040.0
535.0,2017-02-15 13:42:08,ZC,-20.0,-760.0,20.0,-780.0
535.0,2017-02-15 13:42:08,ZC,-21.0,-0.0,20.0,-20.0
535.0,2017-02-15 13:43:42,ZC,-19.0,-0.0,40.0,-40.0
535.0,2017-02-15 13:44:12,ZC,-21.0,-0.0,40.0,-40.0
536.0,2017-02-15 13:45:52,ZC,-20.0,-2100.0,20.0,-2120.0
536.0,2017-02-15 13:45:52,ZC,-19.0,-0.0,20.0,-20.0
536.8,2017-02-15 13:46:43,ZC,-20.0,-1520.0,20.0,-1540.0
536.8,2017-02-15 13:46:43,ZC,-21.0,-0.0,20.0,-20.0
536.6,2017-02-15 13:47:23,ZC,-19.0,420.0,40.0,380.0
536.6,2017-02-15 13:47:24,ZC,-17.0,-0.0,40.0,-40.0
536.6,2017-02-15 13:47:25,ZC,-16.0,-0.0,20.0,-20.0
536.6,2017-02-15 13:47:25,ZC,-15.0,-0.0,20.0,-20.0
536.6,2017-02-15 13:47:25,ZC,-14.0,-0.0,20.0,-20.0
537.4,2017-02-15 13:49:59,ZC,-13.0,-1120.0,20.0,-1140.0
537.4,2017-02-15 13:49:59,ZC,-12.0,-0.0,20.0,-20.0
537.4,2017-02-15 13:49:59,ZC,-11.0,-0.0,20.0,-20.0
537.6,2017-02-15 13:50:13,ZC,-12.0,-220.0,20.0,-240.0
537.6,2017-02-15 13:50:14,ZC,-13.0,-0.0,20.0,-20.0
537.6,2017-02-15 13:50:14,ZC,-14.0,-0.0,20.0,-20.0
536.8,2017-02-15 13:51:45,ZC,-12.0,1120.0,40.0,1080.0
536.8,2017-02-15 13:51:45,ZC,-11.0,-0.0,20.0,-20.0
536.6,2017-02-15 13:52:13,ZC,-13.0,220.0,40.0,180.0
536.2,2017-02-15 13:53:51,ZC,-12.0,520.0,20.0,500.0
536.2,2017-02-15 13:53:51,ZC,-11.0,-0.0,20.0,-20.0
536.2,2017-02-15 13:53:51,ZC,-10.0,-0.0,20.0,-20.0
536.2,2017-02-15 13:53:51,ZC,-8.0,-0.0,40.0,-40.0
536.2,2017-02-15 13:53:54,ZC,-7.0,-0.0,20.0,-20.0
536.2,2017-02-15 13:53:54,ZC,-6.0,-0.0,20.0,-20.0
535.8,2017-02-15 13:54:43,ZC,-7.0,240.0,20.0,220.0
535.8,2017-02-15 13:54:43,ZC,-8.0,-0.0,20.0,-20.0
535.8,2017-02-15 13:54:43,ZC,-9.0,-0.0,20.0,-20.0
535.8,2017-02-15 13:54:43,ZC,-10.0,-0.0,20.0,-20.0
