C,stockdate,symbol,totalposition,profit,comm,equity
15845.0,2017-02-10 14:59:00,,,,,
15950.0,2017-02-13 14:59:00,,,,,
15935.0,2017-02-14 14:58:00,cf,-13.0,,,
15935.0,2017-02-14 14:59:00,cf,-13.0,-0.0,0.0,-0.0
15850.0,2017-02-15 09:21:00,cf,-13.0,5525.0,0.0,5525.0
15850.0,2017-02-15 09:22:43,CF,-14.0,-0.0,25.0,-25.0
15850.0,2017-02-15 09:22:43,CF,-15.0,-0.0,25.0,-25.0
15860.0,2017-02-15 09:53:43,CF,-16.0,-750.0,25.0,-775.0
15860.0,2017-02-15 09:53:43,CF,-18.0,-0.0,50.0,-50.0
15845.0,2017-02-15 14:59:00,CF,-18.0,1350.0,0.0,1350.0
15735.0,2017-02-16 14:12:54,CF,-20.0,9900.0,50.0,9850.0
15735.0,2017-02-16 14:12:54,CF,-21.0,-0.0,25.0,-25.0
15735.0,2017-02-16 14:12:54,CF,-23.0,-0.0,50.0,-50.0
15735.0,2017-02-16 14:12:54,CF,-24.0,-0.0,25.0,-25.0
15670.0,2017-02-16 14:59:00,CF,-21.0,7800.0,75.0,7725.0
