C,stockdate,symbol,totalposition,profit,comm,equity
47610.0,2017-02-10 14:59:00,,,,,
49500.0,2017-02-11 00:59:00,,,,,
50120.0,2017-02-13 14:59:00,,,,,
50130.0,2017-02-14 14:58:00,cu,6.0,,,
50110.0,2017-02-14 14:59:00,cu,6.0,-600.0,0.0,-600.0
48920.0,2017-02-15 09:10:00,cu,6.0,-35700.0,0.0,-35700.0
48900.0,2017-02-15 09:10:42,cu,5.0,-600.0,50.0,-650.0
48900.0,2017-02-15 09:12:42,cu,4.0,0.0,50.0,-50.0
49000.0,2017-02-15 09:22:42,cu,3.0,2000.0,50.0,1950.0
48990.0,2017-02-15 09:24:42,cu,2.0,-150.0,50.0,-200.0
49030.0,2017-02-15 09:26:42,cu,1.0,400.0,50.0,350.0
49010.0,2017-02-15 09:34:42,cu,0.0,-100.0,50.0,-150.0
48740.0,2017-02-15 14:59:00,cu,0.0,-0.0,0.0,-0.0
48680.0,2017-02-16 14:59:00,cu,0.0,-0.0,0.0,-0.0
