C,stockdate,symbol,totalposition,profit,comm,equity
3437.0,2017-02-13 14:59:00,,,,,
3442.0,2017-02-14 14:59:00,,,,,
3397.0,2017-02-15 14:58:00,RB,4.0,,,
3391.0,2017-02-15 14:59:00,RB,4.0,-240.0,0.0,-240.0
3435.0,2017-02-16 10:32:00,RB,4.0,1760.0,0.0,1760.0
3435.0,2017-02-16 10:32:59,rb,6.0,0.0,40.0,-40.0
3435.0,2017-02-16 10:32:59,rb,7.0,0.0,20.0,-20.0
3435.0,2017-02-16 10:32:59,rb,8.0,0.0,20.0,-20.0
3435.0,2017-02-16 10:32:59,rb,10.0,0.0,40.0,-40.0
3435.0,2017-02-16 10:32:59,rb,11.0,0.0,20.0,-20.0
3435.0,2017-02-16 10:32:59,rb,12.0,0.0,20.0,-20.0
3434.0,2017-02-16 10:33:40,rb,8.0,-120.0,80.0,-200.0
3434.0,2017-02-16 10:33:40,rb,4.0,0.0,80.0,-80.0
3434.0,2017-02-16 10:38:55,rb,8.0,0.0,80.0,-80.0
3434.0,2017-02-16 10:38:55,rb,12.0,0.0,80.0,-80.0
3433.0,2017-02-16 10:39:40,rb,8.0,-120.0,80.0,-200.0
3433.0,2017-02-16 10:39:40,rb,4.0,0.0,80.0,-80.0
3433.0,2017-02-16 10:40:13,rb,8.0,0.0,80.0,-80.0
3433.0,2017-02-16 10:40:13,rb,12.0,0.0,80.0,-80.0
3433.0,2017-02-16 10:45:40,rb,15.0,0.0,60.0,-60.0
3433.0,2017-02-16 10:45:40,rb,18.0,0.0,60.0,-60.0
3427.0,2017-02-16 10:57:49,rb,22.0,-1080.0,80.0,-1160.0
3427.0,2017-02-16 10:57:49,rb,26.0,0.0,80.0,-80.0
3432.0,2017-02-16 11:21:50,rb,30.0,1300.0,80.0,1220.0
3432.0,2017-02-16 11:21:50,rb,34.0,0.0,80.0,-80.0
3494.0,2017-02-16 13:34:41,rb,37.0,21080.0,60.0,21020.0
3494.0,2017-02-16 13:34:41,rb,38.0,0.0,20.0,-20.0
3494.0,2017-02-16 13:34:41,rb,41.0,0.0,60.0,-60.0
3494.0,2017-02-16 13:34:41,rb,42.0,0.0,20.0,-20.0
3486.0,2017-02-16 14:12:55,rb,46.0,-3360.0,80.0,-3440.0
3486.0,2017-02-16 14:12:55,rb,50.0,0.0,80.0,-80.0
