C,stockdate,symbol,totalposition,profit,comm,equity
2938.0,2017-02-13 14:59:00,,,,,
2936.0,2017-02-14 14:58:00,bu,30.0,,,
2936.0,2017-02-14 14:59:00,bu,30.0,0.0,0.0,0.0
2876.0,2017-02-15 09:10:00,bu,30.0,-18000.0,0.0,-18000.0
2874.0,2017-02-15 09:10:42,bu,25.0,-600.0,100.0,-700.0
2872.0,2017-02-15 09:22:42,bu,20.0,-500.0,100.0,-600.0
2876.0,2017-02-15 09:26:42,bu,16.0,800.0,80.0,720.0
2876.0,2017-02-15 09:26:42,bu,9.0,0.0,140.0,-140.0
2876.0,2017-02-15 09:26:42,bu,6.0,0.0,60.0,-60.0
2876.0,2017-02-15 09:26:42,bu,5.0,0.0,20.0,-20.0
2874.0,2017-02-15 09:28:42,bu,0.0,-100.0,100.0,-200.0
2826.0,2017-02-15 14:59:00,bu,0.0,-0.0,0.0,-0.0
2806.0,2017-02-16 14:59:00,bu,0.0,-0.0,0.0,-0.0
2804.0,2017-02-17 14:59:00,bu,0.0,-0.0,0.0,-0.0
2884.0,2017-02-20 14:59:00,bu,0.0,0.0,0.0,0.0
