C,stockdate,symbol,totalposition,profit,comm,equity
89120.0,2017-02-13 14:59:00,,,,,
90260.0,2017-02-14 14:59:00,,,,,
89770.0,2017-02-15 14:58:00,ni,12.0,,,
89810.0,2017-02-15 14:59:00,ni,12.0,480.0,0.0,480.0
90440.0,2017-02-16 09:23:00,ni,12.0,7560.0,0.0,7560.0
90420.0,2017-02-16 09:24:46,ni,13.0,-240.0,20.0,-260.0
90420.0,2017-02-16 09:24:46,ni,14.0,0.0,20.0,-20.0
91470.0,2017-02-16 14:12:54,ni,16.0,14700.0,40.0,14660.0
91470.0,2017-02-16 14:12:54,ni,18.0,0.0,40.0,-40.0
90410.0,2017-02-16 14:45:40,ni,17.0,-19080.0,20.0,-19100.0
90410.0,2017-02-16 14:45:40,ni,16.0,0.0,20.0,-20.0
90350.0,2017-02-16 14:49:50,ni,15.0,-960.0,20.0,-980.0
90350.0,2017-02-16 14:49:50,ni,14.0,0.0,20.0,-20.0
90350.0,2017-02-16 14:49:50,ni,13.0,0.0,20.0,-20.0
90350.0,2017-02-16 14:49:50,ni,12.0,0.0,20.0,-20.0
90350.0,2017-02-16 14:49:50,ni,11.0,0.0,20.0,-20.0
90350.0,2017-02-16 14:49:50,ni,10.0,0.0,20.0,-20.0
90570.0,2017-02-16 14:51:10,ni,9.0,2200.0,20.0,2180.0
90570.0,2017-02-16 14:51:10,ni,8.0,0.0,20.0,-20.0
90520.0,2017-02-16 14:51:40,ni,5.0,-400.0,60.0,-460.0
90520.0,2017-02-16 14:51:40,ni,2.0,0.0,60.0,-60.0
90540.0,2017-02-16 14:52:41,ni,-1.0,40.0,60.0,-20.0
90540.0,2017-02-16 14:52:41,ni,-4.0,-0.0,60.0,-60.0
90460.0,2017-02-16 14:54:40,ni,-5.0,320.0,20.0,300.0
90460.0,2017-02-16 14:54:40,ni,-6.0,-0.0,20.0,-20.0
90480.0,2017-02-16 14:55:09,ni,-5.0,-120.0,20.0,-140.0
90480.0,2017-02-16 14:55:09,ni,-4.0,-0.0,20.0,-20.0
90150.0,2017-02-16 14:57:40,ni,-5.0,1320.0,20.0,1300.0
90150.0,2017-02-16 14:57:40,ni,-6.0,-0.0,20.0,-20.0
90280.0,2017-02-16 14:58:41,ni,-5.0,-780.0,20.0,-800.0
90280.0,2017-02-16 14:58:41,ni,-4.0,-0.0,20.0,-20.0
90400.0,2017-02-16 14:59:00,ni,-4.0,-480.0,0.0,-480.0
90430.0,2017-02-16 14:59:40,ni,-8.0,-120.0,80.0,-200.0
90430.0,2017-02-16 14:59:40,ni,-12.0,-0.0,80.0,-80.0
91490.0,2017-02-17 09:00:40,ni,-11.0,-12720.0,20.0,-12740.0
91490.0,2017-02-17 09:00:40,ni,-10.0,-0.0,20.0,-20.0
91500.0,2017-02-17 09:00:41,ni,-7.0,-100.0,60.0,-160.0
91500.0,2017-02-17 09:00:41,ni,-4.0,-0.0,60.0,-60.0
91400.0,2017-02-17 09:01:40,ni,-8.0,400.0,80.0,320.0
91400.0,2017-02-17 09:01:40,ni,-12.0,-0.0,80.0,-80.0
91370.0,2017-02-18 00:59:00,ni,0.0,360.0,240.0,120.0
91650.0,2017-02-20 09:25:47,ni,-11.0,0.0,220.0,-220.0
91150.0,2017-02-20 11:24:51,ni,-9.0,5500.0,40.0,5460.0
91150.0,2017-02-20 11:25:04,ni,-11.0,-0.0,40.0,-40.0
91210.0,2017-02-20 13:31:18,ni,-9.0,-660.0,40.0,-700.0
91690.0,2017-02-20 14:59:00,ni,3.0,-4320.0,240.0,-4560.0
