C,stockdate,symbol,totalposition,profit,comm,equity
6696.0,2017-02-20 14:58:00,YY,-20.0,,,
6698.0,2017-02-20 14:59:00,YY,-20.0,-400.0,0.0,-400.0
6698.0,2017-02-21 14:43:00,YY,-20.0,-0.0,0.0,-0.0
6698.0,2017-02-21 14:43:45,yy,-18.0,-0.0,40.0,-40.0
6698.0,2017-02-21 14:44:45,yy,-20.0,-0.0,40.0,-40.0
6686.0,2017-02-21 14:53:45,yy,-18.0,2400.0,40.0,2360.0
6670.0,2017-02-21 14:59:00,yy,-18.0,2880.0,0.0,2880.0
6636.0,2017-02-22 09:21:44,yy,-19.0,6120.0,20.0,6100.0
6636.0,2017-02-22 09:21:44,yy,-20.0,-0.0,20.0,-20.0
6654.0,2017-02-22 14:59:00,yy,-20.0,-3600.0,0.0,-3600.0
