C,stockdate,symbol,totalposition,profit,comm,equity
6855.0,2017-02-20 13:54:00,sr,-25.0,,,
6855.0,2017-02-20 13:54:46,SR,-23.0,-0.0,20.0,-20.0
6855.0,2017-02-20 13:55:08,SR,-24.0,-0.0,10.0,-10.0
6855.0,2017-02-20 13:55:08,SR,-25.0,-0.0,10.0,-10.0
6854.0,2017-02-20 13:59:21,SR,-23.0,250.0,20.0,230.0
6837.0,2017-02-20 14:59:00,SR,-23.0,3910.0,0.0,3910.0
6869.0,2017-02-21 09:39:13,SR,-21.0,-7360.0,20.0,-7380.0
6869.0,2017-02-21 09:39:13,SR,-20.0,-0.0,10.0,-10.0
6871.0,2017-02-21 09:55:15,SR,-19.0,-400.0,10.0,-410.0
6871.0,2017-02-21 09:55:15,SR,-17.0,-0.0,20.0,-20.0
6871.0,2017-02-21 09:55:15,SR,-16.0,-0.0,10.0,-10.0
6872.0,2017-02-21 10:32:18,SR,-15.0,-160.0,10.0,-170.0
6872.0,2017-02-21 10:32:18,SR,-14.0,-0.0,10.0,-10.0
6872.0,2017-02-21 10:32:18,SR,-13.0,-0.0,10.0,-10.0
6832.0,2017-02-21 11:12:45,SR,-14.0,5200.0,10.0,5190.0
6832.0,2017-02-21 11:12:46,SR,-15.0,-0.0,10.0,-10.0
6832.0,2017-02-21 11:12:47,SR,-16.0,-0.0,10.0,-10.0
6834.0,2017-02-21 11:13:25,SR,-14.0,-320.0,20.0,-340.0
6834.0,2017-02-21 11:13:25,SR,-13.0,-0.0,10.0,-10.0
6835.0,2017-02-21 11:21:44,SR,-17.0,-130.0,40.0,-170.0
6835.0,2017-02-21 11:21:44,SR,-18.0,-0.0,10.0,-10.0
6835.0,2017-02-21 11:22:16,SR,-17.0,-0.0,10.0,-10.0
6835.0,2017-02-21 11:22:16,SR,-13.0,-0.0,40.0,-40.0
6833.0,2017-02-21 11:24:14,SR,-21.0,260.0,80.0,180.0
6829.0,2017-02-21 11:25:44,SR,-25.0,840.0,40.0,800.0
6830.0,2017-02-21 11:26:18,SR,-24.0,-250.0,10.0,-260.0
6830.0,2017-02-21 11:26:18,SR,-22.0,-0.0,20.0,-20.0
6830.0,2017-02-21 11:26:18,SR,-21.0,-0.0,10.0,-10.0
6828.0,2017-02-21 13:31:10,SR,-23.0,420.0,20.0,400.0
6828.0,2017-02-21 13:31:10,SR,-25.0,-0.0,20.0,-20.0
6843.0,2017-02-21 14:59:00,SR,-25.0,-3750.0,0.0,-3750.0
6871.0,2017-02-22 09:22:57,SR,-24.0,-7000.0,10.0,-7010.0
6871.0,2017-02-22 09:22:57,SR,-23.0,-0.0,10.0,-10.0
6871.0,2017-02-22 09:22:57,SR,-22.0,-0.0,10.0,-10.0
6871.0,2017-02-22 09:22:57,SR,-21.0,-0.0,10.0,-10.0
6871.0,2017-02-22 09:25:05,SR,-19.0,-0.0,20.0,-20.0
6871.0,2017-02-22 09:25:05,SR,-18.0,-0.0,10.0,-10.0
6868.0,2017-02-22 09:25:49,SR,-17.0,540.0,10.0,530.0
6868.0,2017-02-22 09:25:49,SR,-15.0,-0.0,20.0,-20.0
6876.0,2017-02-22 09:55:10,SR,-12.0,-1200.0,30.0,-1230.0
6878.0,2017-02-22 10:04:52,SR,-11.0,-240.0,10.0,-250.0
6878.0,2017-02-22 10:04:53,SR,-8.0,-0.0,30.0,-30.0
6877.0,2017-02-22 10:06:49,SR,-5.0,80.0,30.0,50.0
6874.0,2017-02-22 10:49:46,SR,-3.0,150.0,20.0,130.0
6874.0,2017-02-22 10:49:46,SR,0.0,-0.0,30.0,-30.0
6874.0,2017-02-22 10:49:46,SR,2.0,0.0,20.0,-20.0
6874.0,2017-02-22 10:49:46,SR,4.0,0.0,20.0,-20.0
6874.0,2017-02-22 10:49:46,SR,5.0,0.0,10.0,-10.0
6873.0,2017-02-22 10:50:13,SR,4.0,-50.0,10.0,-60.0
6873.0,2017-02-22 10:50:13,SR,2.0,0.0,20.0,-20.0
6869.0,2017-02-22 11:06:52,SR,3.0,-80.0,10.0,-90.0
6869.0,2017-02-22 11:06:53,SR,5.0,0.0,20.0,-20.0
6867.0,2017-02-22 13:51:10,SR,8.0,-100.0,30.0,-130.0
6863.0,2017-02-22 14:23:02,SR,12.0,-320.0,40.0,-360.0
6863.0,2017-02-22 14:23:44,SR,11.0,0.0,10.0,-10.0
6863.0,2017-02-22 14:23:44,SR,10.0,0.0,10.0,-10.0
6863.0,2017-02-22 14:23:44,SR,8.0,0.0,20.0,-20.0
6861.0,2017-02-22 14:59:00,SR,8.0,-160.0,0.0,-160.0
