C,stockdate,symbol,totalposition,profit,comm,equity
23855.0,2017-02-14 15:05:00,zn,0.0,,,
22910.0,2017-02-18 00:59:00,zn,0.0,-0.0,0.0,-0.0
23005.0,2017-02-20 14:59:00,zn,0.0,0.0,0.0,0.0
23450.0,2017-02-21 14:51:00,zn,0.0,0.0,0.0,0.0
23445.0,2017-02-21 14:52:21,zn,1.0,-0.0,25.0,-25.0
23440.0,2017-02-21 14:59:00,zn,1.0,-25.0,0.0,-25.0
23150.0,2017-02-22 11:25:43,zn,0.0,-1450.0,25.0,-1475.0
23170.0,2017-02-22 11:26:49,zn,1.0,0.0,25.0,-25.0
23135.0,2017-02-22 13:31:13,zn,-1.0,-175.0,50.0,-225.0
23135.0,2017-02-22 13:31:13,zn,-2.0,-0.0,25.0,-25.0
23070.0,2017-02-22 13:34:07,zn,-5.0,650.0,75.0,575.0
23070.0,2017-02-22 13:36:11,zn,-6.0,-0.0,25.0,-25.0
23105.0,2017-02-22 13:54:42,zn,-7.0,-1050.0,25.0,-1075.0
23115.0,2017-02-22 13:55:56,zn,-6.0,-350.0,25.0,-375.0
23120.0,2017-02-22 13:58:42,zn,-7.0,-150.0,25.0,-175.0
23170.0,2017-02-22 14:59:00,zn,-7.0,-1750.0,0.0,-1750.0
