C,stockdate,symbol,totalposition,profit,comm,equity
1519.0,2016-12-30 14:58:00,,,,,
1519.0,2017-01-03 14:59:00,,,,,
1534.0,2017-01-04 14:59:00,,,,,
1527.0,2017-01-05 14:59:00,,,,,
1515.0,2017-01-06 14:59:00,,,,,
1508.0,2017-01-09 14:59:00,,,,,
1503.0,2017-01-10 14:59:00,,,,,
1507.0,2017-01-11 14:59:00,,,,,
1508.0,2017-01-12 14:59:00,,,,,
1513.0,2017-01-13 14:59:00,,,,,
1529.0,2017-01-16 14:59:00,,,,,
1524.0,2017-01-17 14:59:00,,,,,
1562.0,2017-01-18 14:59:00,,,,,
1558.0,2017-01-19 14:59:00,,,,,
1564.0,2017-01-20 14:59:00,,,,,
1573.0,2017-01-23 14:59:00,,,,,
1560.0,2017-01-24 14:59:00,,,,,
1556.0,2017-01-25 14:59:00,,,,,
1560.0,2017-01-26 14:59:00,,,,,
1573.0,2017-02-03 14:59:00,,,,,
1600.0,2017-02-06 14:59:00,,,,,
1589.0,2017-02-07 14:59:00,,,,,
1602.0,2017-02-08 14:59:00,,,,,
1602.0,2017-02-09 14:59:00,,,,,
1605.0,2017-02-10 14:59:59,,,,,
1604.0,2017-02-13 14:59:00,,,,,
1574.0,2017-02-14 14:59:00,,,,,
1562.0,2017-02-15 14:59:00,,,,,
1572.0,2017-02-16 14:59:00,,,,,
1565.0,2017-02-17 14:58:00,c,-16.0,,,
1566.0,2017-02-17 14:59:00,c,-16.0,-160.0,0.0,-160.0
1574.0,2017-02-20 10:44:00,c,-16.0,-1280.0,0.0,-1280.0
1574.0,2017-02-20 10:45:08,c,-12.0,-0.0,40.0,-40.0
1574.0,2017-02-20 10:45:12,c,-8.0,-0.0,40.0,-40.0
1574.0,2017-02-20 10:45:13,c,-7.0,-0.0,10.0,-10.0
1574.0,2017-02-20 10:45:15,c,-5.0,-0.0,20.0,-20.0
1574.0,2017-02-20 10:45:17,c,-4.0,-0.0,10.0,-10.0
1574.0,2017-02-20 10:45:18,c,0.0,-0.0,40.0,-40.0
1583.0,2017-02-20 14:59:00,c,0.0,0.0,0.0,0.0
1598.0,2017-02-21 10:00:01,c,16.0,0.0,160.0,-160.0
1586.0,2017-02-21 14:59:00,c,16.0,-1920.0,0.0,-1920.0
1598.0,2017-02-22 14:59:00,c,16.0,1920.0,0.0,1920.0
1583.0,2017-02-23 14:29:43,c,0.0,-2400.0,160.0,-2560.0
1583.0,2017-02-23 14:29:43,c,-16.0,0.0,160.0,-160.0
1584.0,2017-02-23 14:59:00,c,0.0,-160.0,160.0,-320.0
