profit,comm,equity,day
,,,20161226
4400.0,225.0,4175.0,20170103
-1050.0,225.0,-1275.0,20170104
0.0,0.0,0.0,20170105
4900.0,575.0,4325.0,20170106
21650.0,1275.0,20375.0,20170109
49500.0,0.0,49500.0,20170110
15400.0,0.0,15400.0,20170111
12650.0,425.0,12225.0,20170112
-650.0,0.0,-650.0,20170113
59800.0,0.0,59800.0,20170116
-16650.0,325.0,-16975.0,20170117
0.0,0.0,0.0,20170118
0.0,0.0,0.0,20170119
7800.0,100.0,7700.0,20170120
2000.0,0.0,2000.0,20170123
-11300.0,825.0,-12125.0,20170124
-17350.0,325.0,-17675.0,20170125
2200.0,300.0,1900.0,20170126
-5600.0,100.0,-5700.0,20170203
-1700.0,425.0,-2125.0,20170206
-16350.0,625.0,-16975.0,20170207
0.0,0.0,0.0,20170208
0.0,0.0,0.0,20170209
27050.0,225.0,26825.0,20170210
