profit,comm,equity,day
,,,20161221
0.0,0.0,0.0,20170103
0.0,0.0,0.0,20170104
0.0,0.0,0.0,20170105
0.0,0.0,0.0,20170106
17070.0,780.0,16290.0,20170109
27370.0,0.0,27370.0,20170110
3450.0,0.0,3450.0,20170111
4800.0,580.0,4220.0,20170112
-960.0,160.0,-1120.0,20170113
0.0,0.0,0.0,20170116
0.0,0.0,0.0,20170117
0.0,0.0,0.0,20170118
0.0,0.0,0.0,20170119
5280.0,460.0,4820.0,20170120
3220.0,0.0,3220.0,20170123
-19190.0,920.0,-20110.0,20170124
-3120.0,300.0,-3420.0,20170125
5600.0,0.0,5600.0,20170126
39330.0,2580.0,36750.0,20170203
25070.0,160.0,24910.0,20170206
-37500.0,2940.0,-40440.0,20170207
0.0,0.0,0.0,20170208
0.0,0.0,0.0,20170209
-4720.0,160.0,-4880.0,20170210
