profit,comm,equity,day
,,,20170103
,,,20170104
200.0,0.0,200.0,20170105
-2700.0,300.0,-3000.0,20170106
1800.0,150.0,1650.0,20170109
9150.0,50.0,9100.0,20170110
2100.0,0.0,2100.0,20170111
2400.0,0.0,2400.0,20170112
-10200.0,550.0,-10750.0,20170113
7800.0,700.0,7100.0,20170116
11550.0,0.0,11550.0,20170117
-8150.0,100.0,-8250.0,20170118
-12750.0,1250.0,-14000.0,20170119
-4200.0,0.0,-4200.0,20170120
-600.0,0.0,-600.0,20170121
-17450.0,950.0,-18400.0,20170123
-2650.0,550.0,-3200.0,20170124
5950.0,800.0,5150.0,20170125
20000.0,0.0,20000.0,20170126
-42600.0,1500.0,-44100.0,20170203
6500.0,0.0,6500.0,20170204
19450.0,100.0,19350.0,20170206
22000.0,0.0,22000.0,20170207
2500.0,0.0,2500.0,20170208
14500.0,0.0,14500.0,20170209
-29800.0,150.0,-29950.0,20170210
