profit,comm,equity,day
-186520.0,170.0,-186690.0,20170103
3760.0,250.0,3510.0,20170104
0.0,0.0,0.0,20170105
0.0,0.0,0.0,20170106
800.0,510.0,290.0,20170109
16660.0,0.0,16660.0,20170110
-3400.0,0.0,-3400.0,20170111
-4920.0,330.0,-5250.0,20170112
-1840.0,160.0,-2000.0,20170113
-160.0,80.0,-240.0,20170116
-5120.0,320.0,-5440.0,20170117
-320.0,0.0,-320.0,20170118
-7400.0,1800.0,-9200.0,20170119
-4540.0,770.0,-5310.0,20170120
1020.0,170.0,850.0,20170121
15700.0,2050.0,13650.0,20170123
-38920.0,2870.0,-41790.0,20170124
22440.0,0.0,22440.0,20170125
4920.0,360.0,4560.0,20170126
-43800.0,2140.0,-45940.0,20170203
540.0,90.0,450.0,20170206
-7340.0,90.0,-7430.0,20170207
-9640.0,2440.0,-12080.0,20170208
-24120.0,90.0,-24210.0,20170209
149860.0,170.0,149690.0,20170210
