profit,comm,equity,day
-190500.0,330.0,-190830.0,20170103
-9210.0,600.0,-9810.0,20170104
0.0,0.0,0.0,20170105
0.0,0.0,0.0,20170106
0.0,0.0,0.0,20170109
12150.0,90.0,12060.0,20170110
-5400.0,90.0,-5490.0,20170111
0.0,0.0,0.0,20170112
0.0,0.0,0.0,20170113
0.0,0.0,0.0,20170116
0.0,0.0,0.0,20170117
0.0,0.0,0.0,20170118
0.0,0.0,0.0,20170119
1170.0,450.0,720.0,20170120
-2160.0,90.0,-2250.0,20170123
-1710.0,180.0,-1890.0,20170124
0.0,0.0,0.0,20170125
18210.0,240.0,17970.0,20170126
-21630.0,1530.0,-23160.0,20170203
-13770.0,390.0,-14160.0,20170206
-180.0,180.0,-360.0,20170207
-4410.0,660.0,-5070.0,20170208
19710.0,390.0,19320.0,20170209
-36870.0,1560.0,-38430.0,20170210
