profit,comm,equity,day
-750180.0,70.0,-750250.0,20170103
-4990.0,70.0,-5060.0,20170104
-10110.0,680.0,-10790.0,20170105
-5540.0,1410.0,-6950.0,20170106
7360.0,0.0,7360.0,20170109
-80.0,390.0,-470.0,20170110
-690.0,790.0,-1480.0,20170111
-7360.0,0.0,-7360.0,20170112
28980.0,0.0,28980.0,20170113
17480.0,0.0,17480.0,20170116
5980.0,0.0,5980.0,20170117
6440.0,0.0,6440.0,20170118
14260.0,0.0,14260.0,20170119
-17480.0,0.0,-17480.0,20170120
-2710.0,510.0,-3220.0,20170123
420.0,130.0,290.0,20170124
-4510.0,330.0,-4840.0,20170125
-4030.0,0.0,-4030.0,20170126
2940.0,60.0,2880.0,20170203
-7330.0,1390.0,-8720.0,20170206
-4000.0,0.0,-4000.0,20170207
39200.0,0.0,39200.0,20170208
-800.0,0.0,-800.0,20170209
26400.0,0.0,26400.0,20170210
