profit,comm,equity,day
-640.0,0.0,-640.0,20170103
-2560.0,80.0,-2640.0,20170104
0.0,0.0,0.0,20170105
0.0,0.0,0.0,20170106
0.0,0.0,0.0,20170109
-14030.0,3520.0,-17550.0,20170110
-24690.0,1250.0,-25940.0,20170111
-23930.0,1240.0,-25170.0,20170112
12060.0,0.0,12060.0,20170113
74370.0,0.0,74370.0,20170116
-36820.0,1150.0,-37970.0,20170117
0.0,0.0,0.0,20170118
0.0,0.0,0.0,20170119
-4050.0,1010.0,-5060.0,20170120
4760.0,340.0,4420.0,20170123
1190.0,0.0,1190.0,20170124
13600.0,0.0,13600.0,20170125
-1020.0,0.0,-1020.0,20170126
-4540.0,90.0,-4630.0,20170203
590.0,660.0,-70.0,20170206
5880.0,170.0,5710.0,20170207
-5380.0,990.0,-6370.0,20170208
-41620.0,3810.0,-45430.0,20170209
-20950.0,2140.0,-23090.0,20170210
