profit,comm,equity,day
,,,20161227
-240.0,180.0,-420.0,20170103
1300.0,40.0,1260.0,20170104
300.0,0.0,300.0,20170105
5500.0,0.0,5500.0,20170106
-1300.0,0.0,-1300.0,20170109
-2600.0,0.0,-2600.0,20170110
-1920.0,180.0,-2100.0,20170111
-300.0,180.0,-480.0,20170112
-2240.0,460.0,-2700.0,20170113
2420.0,1300.0,1120.0,20170116
14060.0,0.0,14060.0,20170117
-15900.0,320.0,-16220.0,20170118
180.0,40.0,140.0,20170119
-2320.0,460.0,-2780.0,20170120
640.0,0.0,640.0,20170123
2800.0,1400.0,1400.0,20170124
-15360.0,1880.0,-17240.0,20170125
7800.0,0.0,7800.0,20170126
18000.0,0.0,18000.0,20170203
-21100.0,160.0,-21260.0,20170206
7060.0,300.0,6760.0,20170207
-20780.0,1660.0,-22440.0,20170208
-4400.0,120.0,-4520.0,20170209
15960.0,360.0,15600.0,20170210
