profit,comm,equity,day
-1600.0,50.0,-1650.0,20170103
-8700.0,1000.0,-9700.0,20170104
17500.0,0.0,17500.0,20170105
-11875.0,1350.0,-13225.0,20170106
9600.0,400.0,9200.0,20170109
54600.0,0.0,54600.0,20170110
-4900.0,0.0,-4900.0,20170111
-18650.0,750.0,-19400.0,20170112
0.0,0.0,0.0,20170113
-4800.0,400.0,-5200.0,20170116
6200.0,800.0,5400.0,20170117
-17600.0,400.0,-18000.0,20170118
0.0,0.0,0.0,20170119
-750.0,50.0,-800.0,20170120
-3050.0,0.0,-3050.0,20170121
-6325.0,1025.0,-7350.0,20170123
-8525.0,100.0,-8625.0,20170124
10000.0,150.0,9850.0,20170125
41250.0,600.0,40650.0,20170126
-70375.0,1375.0,-71750.0,20170203
200.0,0.0,200.0,20170204
7000.0,300.0,6700.0,20170206
-14950.0,150.0,-15100.0,20170207
-14175.0,775.0,-14950.0,20170208
4725.0,0.0,4725.0,20170209
58725.0,0.0,58725.0,20170210
