profit,comm,equity,day
-14225.0,225.0,-14450.0,20170104
16575.0,0.0,16575.0,20170105
16575.0,0.0,16575.0,20170106
-18150.0,450.0,-18600.0,20170109
-20550.0,3825.0,-24375.0,20170110
35700.0,0.0,35700.0,20170111
42600.0,150.0,42450.0,20170112
-2025.0,1950.0,-3975.0,20170113
0.0,0.0,0.0,20170116
0.0,0.0,0.0,20170117
-1800.0,1125.0,-2925.0,20170118
-825.0,1800.0,-2625.0,20170119
-6950.0,1125.0,-8075.0,20170120
36000.0,0.0,36000.0,20170121
-8325.0,150.0,-8475.0,20170123
4200.0,0.0,4200.0,20170124
39000.0,0.0,39000.0,20170125
-25275.0,600.0,-25875.0,20170126
0.0,0.0,0.0,20170203
0.0,0.0,0.0,20170204
-5850.0,2175.0,-8025.0,20170206
3150.0,0.0,3150.0,20170207
-16275.0,300.0,-16575.0,20170208
-22650.0,750.0,-23400.0,20170209
-36375.0,5550.0,-41925.0,20170210
18900.0,0.0,18900.0,20170211
1575.0,25.0,1550.0,20170213
50600.0,0.0,50600.0,20170214
