profit,comm,equity,day
-95.0,2610.0,-2705.0,20170104
-375.0,0.0,-375.0,20170105
-27850.0,2520.0,-30370.0,20170106
-3750.0,0.0,-3750.0,20170109
-1395.0,220.0,-1615.0,20170110
13670.0,1280.0,12390.0,20170111
-12995.0,480.0,-13475.0,20170112
-9525.0,1430.0,-10955.0,20170113
-960.0,110.0,-1070.0,20170116
-12315.0,2140.0,-14455.0,20170117
-3000.0,0.0,-3000.0,20170118
-16775.0,1800.0,-18575.0,20170119
-12230.0,1270.0,-13500.0,20170120
-11170.0,1360.0,-12530.0,20170123
-380.0,1280.0,-1660.0,20170124
-11020.0,330.0,-11350.0,20170125
-840.0,620.0,-1460.0,20170126
-10195.0,1490.0,-11685.0,20170203
-7200.0,0.0,-7200.0,20170206
1200.0,0.0,1200.0,20170207
-3600.0,0.0,-3600.0,20170208
1200.0,0.0,1200.0,20170209
-2000.0,0.0,-2000.0,20170210
-17200.0,1010.0,-18210.0,20170213
-525.0,0.0,-525.0,20170214
