profit,comm,equity,day
-800.0,100.0,-900.0,20170104
-100.0,0.0,-100.0,20170105
9800.0,2500.0,7300.0,20170106
-37600.0,1400.0,-39000.0,20170109
-100.0,300.0,-400.0,20170110
-1100.0,200.0,-1300.0,20170111
-3400.0,800.0,-4200.0,20170112
5400.0,500.0,4900.0,20170113
6600.0,0.0,6600.0,20170116
-5900.0,200.0,-6100.0,20170117
0.0,0.0,0.0,20170118
-1200.0,500.0,-1700.0,20170119
5475.0,2600.0,2875.0,20170120
12300.0,100.0,12200.0,20170123
-24725.0,2000.0,-26725.0,20170124
-7100.0,1400.0,-8500.0,20170125
-12500.0,2100.0,-14600.0,20170126
-52925.0,5900.0,-58825.0,20170203
-16100.0,3300.0,-19400.0,20170206
-22800.0,4600.0,-27400.0,20170207
14500.0,2200.0,12300.0,20170208
-5700.0,500.0,-6200.0,20170209
-8200.0,200.0,-8400.0,20170210
-85200.0,1950.0,-87150.0,20170213
-2250.0,0.0,-2250.0,20170214
