profit,comm,equity,day
-9140.0,860.0,-10000.0,20170104
4680.0,0.0,4680.0,20170105
8840.0,0.0,8840.0,20170106
-8580.0,0.0,-8580.0,20170109
-6060.0,260.0,-6320.0,20170110
-1220.0,800.0,-2020.0,20170111
2560.0,0.0,2560.0,20170112
-320.0,0.0,-320.0,20170113
8320.0,0.0,8320.0,20170116
-320.0,0.0,-320.0,20170117
-1380.0,140.0,-1520.0,20170118
-1740.0,60.0,-1800.0,20170119
-10800.0,720.0,-11520.0,20170120
2600.0,0.0,2600.0,20170123
19260.0,1660.0,17600.0,20170124
-37640.0,1860.0,-39500.0,20170125
42180.0,780.0,41400.0,20170126
42140.0,0.0,42140.0,20170203
-8820.0,0.0,-8820.0,20170206
7840.0,0.0,7840.0,20170207
-52520.0,2260.0,-54780.0,20170208
740.0,560.0,180.0,20170209
-6500.0,2120.0,-8620.0,20170210
-22080.0,740.0,-22820.0,20170213
12180.0,0.0,12180.0,20170214
