profit,comm,equity,day
,,,20161216
0.0,0.0,0.0,20170104
0.0,0.0,0.0,20170105
0.0,0.0,0.0,20170106
0.0,0.0,0.0,20170109
-40850.0,2710.0,-43560.0,20170110
-4470.0,150.0,-4620.0,20170111
21610.0,890.0,20720.0,20170112
13205.0,0.0,13205.0,20170113
30210.0,0.0,30210.0,20170116
-14590.0,190.0,-14780.0,20170117
0.0,0.0,0.0,20170118
0.0,0.0,0.0,20170119
-7245.0,470.0,-7715.0,20170120
15390.0,0.0,15390.0,20170123
-10105.0,290.0,-10395.0,20170124
3450.0,50.0,3400.0,20170125
-3800.0,150.0,-3950.0,20170126
-7495.0,150.0,-7645.0,20170203
-110.0,1140.0,-1250.0,20170206
-11350.0,860.0,-12210.0,20170207
4095.0,1290.0,2805.0,20170208
-69425.0,2700.0,-72125.0,20170209
-20195.0,650.0,-20845.0,20170210
-106530.0,1030.0,-107560.0,20170213
4860.0,0.0,4860.0,20170214
