profit,comm,equity,day
-690.0,530.0,-1220.0,20170104
-2750.0,510.0,-3260.0,20170105
-3280.0,770.0,-4050.0,20170106
1320.0,80.0,1240.0,20170109
-3910.0,1400.0,-5310.0,20170110
260.0,1320.0,-1060.0,20170111
-4060.0,0.0,-4060.0,20170112
35960.0,0.0,35960.0,20170113
21440.0,80.0,21360.0,20170116
4500.0,0.0,4500.0,20170117
5660.0,80.0,5580.0,20170118
8920.0,80.0,8840.0,20170119
-17910.0,500.0,-18410.0,20170120
0.0,0.0,0.0,20170123
-1660.0,680.0,-2340.0,20170124
-12340.0,1000.0,-13340.0,20170125
-11500.0,0.0,-11500.0,20170126
1920.0,730.0,1190.0,20170203
6480.0,1490.0,4990.0,20170206
-1160.0,0.0,-1160.0,20170207
24940.0,0.0,24940.0,20170208
-7540.0,0.0,-7540.0,20170209
22040.0,0.0,22040.0,20170210
-6960.0,330.0,-7290.0,20170213
-6500.0,120.0,-6620.0,20170214
