profit,comm,equity,day
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
400.0,0.0,400.0,20170118
-2000.0,0.0,-2000.0,20170119
-2000.0,0.0,-2000.0,20170120
-5600.0,0.0,-5600.0,20170123
18800.0,0.0,18800.0,20170124
-16800.0,0.0,-16800.0,20170125
-9200.0,0.0,-9200.0,20170126
-16400.0,0.0,-16400.0,20170203
2000.0,0.0,2000.0,20170206
-4000.0,0.0,-4000.0,20170207
12400.0,0.0,12400.0,20170208
-4400.0,0.0,-4400.0,20170209
14400.0,0.0,14400.0,20170210
-17600.0,0.0,-17600.0,20170213
-8000.0,0.0,-8000.0,20170214
400.0,740.0,-340.0,20170215
