profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170213
570.0,0.0,570.0,20170214
-9580.0,450.0,-10030.0,20170215
1040.0,0.0,1040.0,20170216
11180.0,0.0,11180.0,20170220
-6500.0,0.0,-6500.0,20170221
16380.0,0.0,16380.0,20170222
4680.0,0.0,4680.0,20170223
