profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170121
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170204
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170211
,,,20170213
,,,20170214
,,,20170215
1080.0,0.0,1080.0,20170216
-7080.0,240.0,-7320.0,20170220
1080.0,400.0,680.0,20170221
-3600.0,800.0,-4400.0,20170222
-11280.0,1920.0,-13200.0,20170223
