profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170213
0.0,0.0,0.0,20170214
-13520.0,520.0,-14040.0,20170215
0.0,0.0,0.0,20170216
0.0,0.0,0.0,20170217
0.0,0.0,0.0,20170220
0.0,0.0,0.0,20170221
-260.0,260.0,-520.0,20170222
-3120.0,2340.0,-5460.0,20170223
