profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170213
0.0,0.0,0.0,20170214
5850.0,150.0,5700.0,20170215
16625.0,0.0,16625.0,20170216
7600.0,0.0,7600.0,20170220
-16475.0,775.0,-17250.0,20170221
750.0,250.0,500.0,20170222
-3000.0,0.0,-3000.0,20170223
